compact_object_type,formation_channel,study_key,label,first_author,year,month,ads_url,arxiv_url,code,plotting_style,rate_Gpc3yr,rate_type,submodel,notes
BH-BH,globular-clusters,Bae_2014,Bae et al. (2014),Bae,2014,4,https://academic.oup.com/mnras/article/440/3/2714/1078166,https://arxiv.org/abs/1308.1641,,range,7.25,,,
BH-BH,globular-clusters,Bae_2014,Bae et al. (2014),Bae,2014,4,https://academic.oup.com/mnras/article/440/3/2714/1078166,https://arxiv.org/abs/1308.1641,,range,29.0,,,
BH-BH,globular-clusters,Rodriguez_2015_CMC,Rodriguez et al. (2015),Carl Rodriguez,2015,,https://ui.adsabs.harvard.edu/abs/2015PhRvL.115e1101R/abstract,https://arxiv.org/pdf/1505.00792.pdf,CMC,range,3.8425,,,
BH-BH,globular-clusters,Rodriguez_2015_CMC,Rodriguez et al. (2015),Carl Rodriguez,2015,,https://ui.adsabs.harvard.edu/abs/2015PhRvL.115e1101R/abstract,https://arxiv.org/pdf/1505.00792.pdf,CMC,range,5.751666667,,,
BH-BH,globular-clusters,Rodriguez_2015_CMC,Rodriguez et al. (2015),Carl Rodriguez,2015,,https://ui.adsabs.harvard.edu/abs/2015PhRvL.115e1101R/abstract,https://arxiv.org/pdf/1505.00792.pdf,CMC,range,5.389166667,,,
BH-BH,globular-clusters,Rodriguez_2015_CMC,Rodriguez et al. (2015),Carl Rodriguez,2015,,https://ui.adsabs.harvard.edu/abs/2015PhRvL.115e1101R/abstract,https://arxiv.org/pdf/1505.00792.pdf,CMC,range,10.24666667,,,
BH-BH,globular-clusters,Rodriguez_2015_CMC,Rodriguez et al. (2015),Carl Rodriguez,2015,,https://ui.adsabs.harvard.edu/abs/2015PhRvL.115e1101R/abstract,https://arxiv.org/pdf/1505.00792.pdf,CMC,range,6.041666667,,,
BH-BH,globular-clusters,Rodriguez_2015_CMC,Rodriguez et al. (2015),Carl Rodriguez,2015,,https://ui.adsabs.harvard.edu/abs/2015PhRvL.115e1101R/abstract,https://arxiv.org/pdf/1505.00792.pdf,CMC,range,13.2675,,,
BH-BH,globular-clusters,Antonini_2016,Antonini and Rasio (2016),"{Antonini}, Fabio",2016,11,https://ui.adsabs.harvard.edu/abs/2016ApJ...831..187A/abstract,https://arxiv.org/abs/1606.04889,,single_value,5.0,single,,
BH-BH,globular-clusters,Rodriguez_2016a_CMC,Rodriguez et al. (2016a),"{Rodriguez}, Carl L",2016,4,https://ui.adsabs.harvard.edu/abs/2016PhRvD..93h4029R/abstract,https://arxiv.org/abs/1602.02444,CMC,range,2.0,,,
BH-BH,globular-clusters,Rodriguez_2016a_CMC,Rodriguez et al. (2016a),"{Rodriguez}, Carl L",2016,4,https://ui.adsabs.harvard.edu/abs/2016PhRvD..93h4029R/abstract,https://arxiv.org/abs/1602.02444,CMC,range,5.0,,,
BH-BH,globular-clusters,Rodriguez_2016a_CMC,Rodriguez et al. (2016a),"{Rodriguez}, Carl L",2016,4,https://ui.adsabs.harvard.edu/abs/2016PhRvD..93h4029R/abstract,https://arxiv.org/abs/1602.02444,CMC,range,20.0,,,
