paper_id,source,url,figure,coe_type,alpha_CE,f_MT_beta,rate_Gpc3yr,notes
Bouffanais21,Bouffanais et al. 2021,https://arxiv.org/pdf/2010.11220,Figure 2,isolated_binary_evolution,1,0.1,10,z=0 lookback_time=0
Bouffanais21,Bouffanais et al. 2021,https://arxiv.org/pdf/2010.11220,Figure 2,isolated_binary_evolution,1,0.2,20,z=0 lookback_time=0
Bouffanais21,Bouffanais et al. 2021,https://arxiv.org/pdf/2010.11220,Figure 2,isolated_binary_evolution,1,0.3,30,z=0 lookback_time=0
Bouffanais21,Bouffanais et al. 2021,https://arxiv.org/pdf/2010.11220,Figure 2,isolated_binary_evolution,1,0.4,45,z=0 lookback_time=0
Bouffanais21,Bouffanais et al. 2021,https://arxiv.org/pdf/2010.11220,Figure 2,isolated_binary_evolution,1,0.5,60,z=0 lookback_time=0
Bouffanais21,Bouffanais et al. 2021,https://arxiv.org/pdf/2010.11220,Figure 2,isolated_binary_evolution,1,0.6,70,z=0 lookback_time=0
Bouffanais21,Bouffanais et al. 2021,https://arxiv.org/pdf/2010.11220,Figure 2,isolated_binary_evolution,1,0.7,80,z=0 lookback_time=0
Bouffanais21,Bouffanais et al. 2021,https://arxiv.org/pdf/2010.11220,Figure 2,isolated_binary_evolution,1,0.8,90,z=0 lookback_time=0
Bouffanais21,Bouffanais et al. 2021,https://arxiv.org/pdf/2010.11220,Figure 2,isolated_binary_evolution,1,0.9,100,z=0 lookback_time=0
Bouffanais21,Bouffanais et al. 2021,https://arxiv.org/pdf/2010.11220,Figure 2,isolated_binary_evolution,1,1.0,110,z=0 lookback_time=0
Bouffanais21,Bouffanais et al. 2021,https://arxiv.org/pdf/2010.11220,Figure 2,isolated_binary_evolution,6,0.1,5,z=0 lookback_time=0
Bouffanais21,Bouffanais et al. 2021,https://arxiv.org/pdf/2010.11220,Figure 2,isolated_binary_evolution,6,0.2,8,z=0 lookback_time=0
Bouffanais21,Bouffanais et al. 2021,https://arxiv.org/pdf/2010.11220,Figure 2,isolated_binary_evolution,6,0.3,10,z=0 lookback_time=0
Bouffanais21,Bouffanais et al. 2021,https://arxiv.org/pdf/2010.11220,Figure 2,isolated_binary_evolution,6,0.4,15,z=0 lookback_time=0
Bouffanais21,Bouffanais et al. 2021,https://arxiv.org/pdf/2010.11220,Figure 2,isolated_binary_evolution,6,0.5,20,z=0 lookback_time=0
Bouffanais21,Bouffanais et al. 2021,https://arxiv.org/pdf/2010.11220,Figure 2,isolated_binary_evolution,6,0.6,25,z=0 lookback_time=0
Bouffanais21,Bouffanais et al. 2021,https://arxiv.org/pdf/2010.11220,Figure 2,isolated_binary_evolution,6,0.7,30,z=0 lookback_time=0
Bouffanais21,Bouffanais et al. 2021,https://arxiv.org/pdf/2010.11220,Figure 2,isolated_binary_evolution,6,0.8,35,z=0 lookback_time=0
Bouffanais21,Bouffanais et al. 2021,https://arxiv.org/pdf/2010.11220,Figure 2,isolated_binary_evolution,6,0.9,40,z=0 lookback_time=0
Bouffanais21,Bouffanais et al. 2021,https://arxiv.org/pdf/2010.11220,Figure 2,isolated_binary_evolution,6,1.0,45,z=0 lookback_time=0
Bouffanais21,Bouffanais et al. 2021,https://arxiv.org/pdf/2010.11220,Figure 2,isolated_binary_evolution,10,0.1,2,z=0 lookback_time=0
Bouffanais21,Bouffanais et al. 2021,https://arxiv.org/pdf/2010.11220,Figure 2,isolated_binary_evolution,10,0.2,3,z=0 lookback_time=0
Bouffanais21,Bouffanais et al. 2021,https://arxiv.org/pdf/2010.11220,Figure 2,isolated_binary_evolution,10,0.3,5,z=0 lookback_time=0
Bouffanais21,Bouffanais et al. 2021,https://arxiv.org/pdf/2010.11220,Figure 2,isolated_binary_evolution,10,0.4,7,z=0 lookback_time=0
Bouffanais21,Bouffanais et al. 2021,https://arxiv.org/pdf/2010.11220,Figure 2,isolated_binary_evolution,10,0.5,10,z=0 lookback_time=0
Bouffanais21,Bouffanais et al. 2021,https://arxiv.org/pdf/2010.11220,Figure 2,isolated_binary_evolution,10,0.6,12,z=0 lookback_time=0
Bouffanais21,Bouffanais et al. 2021,https://arxiv.org/pdf/2010.11220,Figure 2,isolated_binary_evolution,10,0.7,15,z=0 lookback_time=0
Bouffanais21,Bouffanais et al. 2021,https://arxiv.org/pdf/2010.11220,Figure 2,isolated_binary_evolution,10,0.8,18,z=0 lookback_time=0
Bouffanais21,Bouffanais et al. 2021,https://arxiv.org/pdf/2010.11220,Figure 2,isolated_binary_evolution,10,0.9,20,z=0 lookback_time=0
Bouffanais21,Bouffanais et al. 2021,https://arxiv.org/pdf/2010.11220,Figure 2,isolated_binary_evolution,10,1.0,23,z=0 lookback_time=0
