DCOlabel,SFRD_variation,source_file,model_name,total_rate,without_CE_fraction,with_CE_fraction,sum_CE_fractions,sum_minus_one,fractions_sum_to_one
BHBH,000,Formation_Channels_Local_Rates_BHBH_xyz_000.csv,A,40.937734836592206,0.5908130082984493,0.4091869917015511,1.0000000000000004,4.440892098500626e-16,True
BHBH,000,Formation_Channels_Local_Rates_BHBH_xyz_000.csv,B,36.32100755035253,0.5868142634557384,0.4131857365442614,0.9999999999999998,-2.220446049250313e-16,True
BHBH,000,Formation_Channels_Local_Rates_BHBH_xyz_000.csv,C,44.67984705456976,0.7627206102601347,0.23727938973986462,0.9999999999999993,-6.661338147750939e-16,True
BHBH,000,Formation_Channels_Local_Rates_BHBH_xyz_000.csv,D,54.74295774088659,0.8346854073686278,0.1653145926313718,0.9999999999999997,-3.3306690738754696e-16,True
BHBH,000,Formation_Channels_Local_Rates_BHBH_xyz_000.csv,E,41.27141846117638,0.5986461447347446,0.401353855265255,0.9999999999999997,-3.3306690738754696e-16,True
BHBH,000,Formation_Channels_Local_Rates_BHBH_xyz_000.csv,F,109.5717915096251,0.2411872278785478,0.7588127721214519,0.9999999999999998,-2.220446049250313e-16,True
BHBH,000,Formation_Channels_Local_Rates_BHBH_xyz_000.csv,G,25.22521751862451,0.9238057586414772,0.07619424135852285,1.0,0.0,True
BHBH,000,Formation_Channels_Local_Rates_BHBH_xyz_000.csv,H,35.682962379678834,0.6861667071986871,0.3138332928013134,1.0000000000000004,4.440892098500626e-16,True
BHBH,000,Formation_Channels_Local_Rates_BHBH_xyz_000.csv,I,56.46243917245992,0.438134879111506,0.5618651208884936,0.9999999999999996,-4.440892098500626e-16,True
BHBH,000,Formation_Channels_Local_Rates_BHBH_xyz_000.csv,J,34.22264780666556,0.67854153957488,0.32145846042511994,0.9999999999999999,-1.1102230246251565e-16,True
BHBH,000,Formation_Channels_Local_Rates_BHBH_xyz_000.csv,K,108.24905488552152,0.2346666602855934,0.7653333397144066,1.0,0.0,True
BHBH,000,Formation_Channels_Local_Rates_BHBH_xyz_000.csv,L,44.34727672201789,0.6247463981261566,0.37525360187384343,1.0,0.0,True
BHBH,000,Formation_Channels_Local_Rates_BHBH_xyz_000.csv,M,50.51516724833899,0.5189344405410042,0.4810655594589945,0.9999999999999987,-1.3322676295501878e-15,True
BHBH,000,Formation_Channels_Local_Rates_BHBH_xyz_000.csv,N,36.34603124734527,0.643670640583973,0.356329359416027,1.0,0.0,True
BHBH,000,Formation_Channels_Local_Rates_BHBH_xyz_000.csv,O,41.07351425867767,0.5930833510015298,0.4069166489984694,0.9999999999999991,-8.881784197001252e-16,True
BHBH,000,Formation_Channels_Local_Rates_BHBH_xyz_000.csv,P,47.08460687356756,0.5605962395585453,0.43940376044145457,0.9999999999999999,-1.1102230246251565e-16,True
BHBH,000,Formation_Channels_Local_Rates_BHBH_xyz_000.csv,Q,55.72460289541592,0.4744442934011057,0.5255557065988942,0.9999999999999999,-1.1102230246251565e-16,True
BHBH,000,Formation_Channels_Local_Rates_BHBH_xyz_000.csv,R,52.18797535841235,0.3794325101184734,0.6205674898815267,1.0,0.0,True
