model,MT,SN,kick,alpha_CE,birth_rate_Myr-1,merger_rate_Myr-1,log10_merger_rate,merger_rate_Gpc^-3_yr^-1
MTISNAk20150α0.1,I,A,k20150,0.1,9.39,5.78,0.7619,67.626
MTISNAk20150α0.5,I,A,k20150,0.5,17.88,11.27,1.0519,131.859
MTISNAk20150α1,I,A,k20150,1,18.03,10.7,1.0294,125.19
MTISNAk20150α2,I,A,k20150,2,24.5,13,1.1139,152.1
MTISNAk20150α5,I,A,k20150,5,47.08,33.46,1.5245,391.482
MTISNAk20150α10,I,A,k20150,10,54.88,36.6,1.5635,428.22
MTISNAk20300α0.1,I,A,k20300,0.1,5.06,3.21,0.5065,37.557
MTISNAk20300α0.5,I,A,k20300,0.5,7.49,5.09,0.7067,59.553
MTISNAk20300α1,I,A,k20300,1,7.08,4.54,0.6571,53.118
MTISNAk20300α2,I,A,k20300,2,10.19,6.3,0.7993,73.71
MTISNAk20300α5,I,A,k20300,5,17.5,13.07,1.1163,152.919
MTISNAk20300α10,I,A,k20300,10,17.84,12.52,1.0976,146.484
MTISNAk40150α0.1,I,A,k40150,0.1,8.04,5.48,0.7388,64.116
MTISNAk40150α0.5,I,A,k40150,0.5,16.1,10.77,1.0322,126.009
MTISNAk40150α1,I,A,k40150,1,16.1,10.23,1.0099,119.691
MTISNAk40150α2,I,A,k40150,2,23.26,13.19,1.1202,154.323
MTISNAk40150α5,I,A,k40150,5,44.8,33.09,1.5197,387.153
MTISNAk40150α10,I,A,k40150,10,52.4,36.55,1.5629,427.635
MTISNAk40300α0.1,I,A,k40300,0.1,3.96,2.99,0.4757,34.983
MTISNAk40300α0.5,I,A,k40300,0.5,6.14,4.81,0.6821,56.277
MTISNAk40300α1,I,A,k40300,1,5.65,4.27,0.6304,49.959
MTISNAk40300α2,I,A,k40300,2,8.57,6.14,0.7882,71.838
MTISNAk40300α5,I,A,k40300,5,15.33,12.64,1.1017,147.888
MTISNAk40300α10,I,A,k40300,10,15.72,12.38,1.0927,144.846
MTISNBk20150α0.1,I,B,k20150,0.1,13.44,6.91,0.8395,80.847
MTISNBk20150α0.5,I,B,k20150,0.5,27.43,12.56,1.099,146.952
MTISNBk20150α1,I,B,k20150,1,30.24,12.58,1.0997,147.186
MTISNBk20150α2,I,B,k20150,2,42.44,15.76,1.1976,184.392
MTISNBk20150α5,I,B,k20150,5,72.9,39.59,1.5976,463.203
MTISNBk20150α10,I,B,k20150,10,86.86,42.52,1.6286,497.484
MTISNBk20300α0.1,I,B,k20300,0.1,9.66,4.64,0.6665,54.288
MTISNBk20300α0.5,I,B,k20300,0.5,17.32,7.12,0.8525,83.304
MTISNBk20300α1,I,B,k20300,1,19.39,7.02,0.8463,82.134
MTISNBk20300α2,I,B,k20300,2,27.2,9.45,0.9754,110.565
MTISNBk20300α5,I,B,k20300,5,44.33,21.22,1.3267,248.274
MTISNBk20300α10,I,B,k20300,10,50.08,20.71,1.3162,242.307
MTISNBk40150α0.1,I,B,k40150,0.1,9.43,6.04,0.781,70.668
MTISNBk40150α0.5,I,B,k40150,0.5,20.54,11.48,1.0599,134.316
MTISNBk40150α1,I,B,k40150,1,22.13,11.46,1.0592,134.082
MTISNBk40150α2,I,B,k40150,2,32.19,14.48,1.1608,169.416
MTISNBk40150α5,I,B,k40150,5,58.86,37.2,1.5705,435.24
MTISNBk40150α10,I,B,k40150,10,70.8,41.3,1.616,483.21
MTISNBk40300α0.1,I,B,k40300,0.1,5.6,3.73,0.5717,43.641
MTISNBk40300α0.5,I,B,k40300,0.5,10.94,6.29,0.7987,73.593
MTISNBk40300α1,I,B,k40300,1,11.64,5.98,0.7767,69.966
MTISNBk40300α2,I,B,k40300,2,17.6,8.37,0.9227,97.929
MTISNBk40300α5,I,B,k40300,5,31.04,19.02,1.2792,222.534
MTISNBk40300α10,I,B,k40300,10,35.51,19.77,1.296,231.309
MTISNCk20150α0.1,I,C,k20150,0.1,9.85,6.22,0.7938,72.774
MTISNCk20150α0.5,I,C,k20150,0.5,19.22,12,1.0792,140.4
MTISNCk20150α1,I,C,k20150,1,18.88,10.85,1.0354,126.945
MTISNCk20150α2,I,C,k20150,2,27.21,15.71,1.1962,183.807
MTISNCk20150α5,I,C,k20150,5,51,36.73,1.565,429.741
MTISNCk20150α10,I,C,k20150,10,53.86,34.62,1.5393,405.054
MTISNCk20300α0.1,I,C,k20300,0.1,5.07,3.25,0.5119,38.025
MTISNCk20300α0.5,I,C,k20300,0.5,8.03,5.42,0.734,63.414
MTISNCk20300α1,I,C,k20300,1,7.53,4.8,0.6812,56.16
MTISNCk20300α2,I,C,k20300,2,10.46,6.89,0.8382,80.613
MTISNCk20300α5,I,C,k20300,5,18.47,14.17,1.1514,165.789
MTISNCk20300α10,I,C,k20300,10,17.59,12.18,1.0856,142.506
MTISNCk40150α0.1,I,C,k40150,0.1,8.4,5.84,0.7664,68.328
MTISNCk40150α0.5,I,C,k40150,0.5,17.65,11.62,1.0652,135.954
MTISNCk40150α1,I,C,k40150,1,17.1,10.48,1.0204,122.616
MTISNCk40150α2,I,C,k40150,2,25,15.3,1.1847,179.01
MTISNCk40150α5,I,C,k40150,5,48.52,36.14,1.558,422.838
MTISNCk40150α10,I,C,k40150,10,51.26,34.27,1.5349,400.959
MTISNCk40300α0.1,I,C,k40300,0.1,3.97,3.04,0.4829,35.568
MTISNCk40300α0.5,I,C,k40300,0.5,6.53,5.07,0.705,59.319
MTISNCk40300α1,I,C,k40300,1,6.09,4.61,0.6637,53.937
MTISNCk40300α2,I,C,k40300,2,8.78,6.56,0.8169,76.752
MTISNCk40300α5,I,C,k40300,5,16.5,13.76,1.1386,160.992
MTISNCk40300α10,I,C,k40300,10,15.73,12.21,1.0867,142.857
MTISNDk20α0.1,I,D,k20,0.1,9.03,4.81,0.6821,56.277
MTISNDk20α0.5,I,D,k20,0.5,15.48,8.46,0.9274,98.982
MTISNDk20α1,I,D,k20,1,15.53,8.02,0.9042,93.834
MTISNDk20α2,I,D,k20,2,16.07,7.16,0.8549,83.772
MTISNDk20α5,I,D,k20,5,36.9,27.44,1.4384,321.048
MTISNDk20α10,I,D,k20,10,37.4,22.56,1.3533,263.952
MTISNDk40α0.1,I,D,k40,0.1,8.05,4.79,0.6803,56.043
MTISNDk40α0.5,I,D,k40,0.5,14.57,8.33,0.9206,97.461
MTISNDk40α1,I,D,k40,1,14.51,7.85,0.8949,91.845
MTISNDk40α2,I,D,k40,2,15.2,7.26,0.8609,84.942
MTISNDk40α5,I,D,k40,5,36.14,27.45,1.4385,321.165
