xyz,A intrinsic (z=0) [Gpc^{-3} yr^{-1}],A observed (design LVK) [yr^{-1}],B intrinsic (z=0) [Gpc^{-3} yr^{-1}],B observed (design LVK) [yr^{-1}],C intrinsic (z=0) [Gpc^{-3} yr^{-1}],C observed (design LVK) [yr^{-1}],D intrinsic (z=0) [Gpc^{-3} yr^{-1}],D observed (design LVK) [yr^{-1}],E intrinsic (z=0) [Gpc^{-3} yr^{-1}],E observed (design LVK) [yr^{-1}],F intrinsic (z=0) [Gpc^{-3} yr^{-1}],F observed (design LVK) [yr^{-1}],G intrinsic (z=0) [Gpc^{-3} yr^{-1}],G observed (design LVK) [yr^{-1}],H intrinsic (z=0) [Gpc^{-3} yr^{-1}],H observed (design LVK) [yr^{-1}],I intrinsic (z=0) [Gpc^{-3} yr^{-1}],I observed (design LVK) [yr^{-1}],J intrinsic (z=0) [Gpc^{-3} yr^{-1}],J observed (design LVK) [yr^{-1}],K intrinsic (z=0) [Gpc^{-3} yr^{-1}],K observed (design LVK) [yr^{-1}],L intrinsic (z=0) [Gpc^{-3} yr^{-1}],L observed (design LVK) [yr^{-1}],M intrinsic (z=0) [Gpc^{-3} yr^{-1}],M observed (design LVK) [yr^{-1}],N intrinsic (z=0) [Gpc^{-3} yr^{-1}],N observed (design LVK) [yr^{-1}],O intrinsic (z=0) [Gpc^{-3} yr^{-1}],O observed (design LVK) [yr^{-1}],P intrinsic (z=0) [Gpc^{-3} yr^{-1}],P observed (design LVK) [yr^{-1}],Q intrinsic (z=0) [Gpc^{-3} yr^{-1}],Q observed (design LVK) [yr^{-1}],R intrinsic (z=0) [Gpc^{-3} yr^{-1}],R observed (design LVK) [yr^{-1}],S intrinsic (z=0) [Gpc^{-3} yr^{-1}],S observed (design LVK) [yr^{-1}],T intrinsic (z=0) [Gpc^{-3} yr^{-1}],T observed (design LVK) [yr^{-1}],U intrinsic (z=0) [Gpc^{-3} yr^{-1}],U observed (design LVK) [yr^{-1}],V intrinsic (z=0) [Gpc^{-3} yr^{-1}],V observed (design LVK) [yr^{-1}],W intrinsic (z=0) [Gpc^{-3} yr^{-1}],W observed (design LVK) [yr^{-1}],X intrinsic (z=0) [Gpc^{-3} yr^{-1}],X observed (design LVK) [yr^{-1}],Y intrinsic (z=0) [Gpc^{-3} yr^{-1}],Y observed (design LVK) [yr^{-1}],Z intrinsic (z=0) [Gpc^{-3} yr^{-1}],Z observed (design LVK) [yr^{-1}]
.0.0.0,33.52050521653553,278.87649088232206,30.07685892499585,149.02587388507695,36.55864468049413,190.94512534826384,46.79253132508585,272.5697332756528,33.382136551384505,283.057024673955,73.49354716083697,471.3463964680191,21.19556890705769,224.12604453952042,29.282971796337662,246.86142091333386,45.497846078535346,314.0473741890394,29.651581751248322,228.156384187309,72.65391846048087,462.2297089965554,36.4734725078722,287.5054099440654,39.50201560017084,285.867828565825,30.10887122606691,277.49581666172776,33.737449621781835,293.4635022534995,38.60721507597757,281.1589852522138,43.50739930775092,283.3782587368558,39.211659401375705,280.47169664413025,95.36270161917444,700.8514443453087,8.452386739988576,69.53461045523147,,,,,,,,,,,,
.1.1.1,363.6827635484002,3634.942483258346,306.6305498063393,2105.2698047081185,307.7750268348644,2310.5255349053173,365.09993784639573,2865.3671359805626,366.0875395643498,3671.393214301389,657.1875527991723,5095.598848388629,199.28629074733811,2587.1114519866587,311.1048261780553,3394.9616959370587,467.3513491354939,3759.6645701934917,283.18475467653917,2592.586587344849,649.7065339816918,5040.428877433812,332.57250810625777,3645.8540693318737,414.91106743877924,3678.1718225697773,329.7620800086927,3614.3252889125292,366.4380201124189,3996.769349553124,415.95554192992927,3681.5794703237457,456.340819071732,3721.649258634151,435.59675475076864,3667.8654075558643,509.9786212801298,5082.500540565716,136.78442143329613,1253.7469643999686,,,,,,,,,,,,
.2.1.1,451.0769246167918,5412.779255804541,367.3108279976265,2895.792870346348,384.113555620336,3285.1237646608447,479.57238540159005,4441.680307805963,454.0442551183706,5457.573171381963,735.0146015788409,6723.578522749122,262.921204892504,4033.1232372072054,398.5483393202632,4942.076956814436,592.2358907451999,5823.874776912197,417.3055973263752,4318.2601716442105,726.2054406867621,6657.721298845355,419.3300440160408,5408.992311497624,502.113881773756,5450.359935227698,416.7888948984137,5396.018466140696,457.26967776729487,6319.0307221312205,501.2497148655741,5458.48389377575,545.0733669731765,5504.603969251076,517.2563878682669,5420.739007408123,594.9660440501316,6809.043588658687,204.1710113486609,2410.85275780594,,,,,,,,,,,,
.3.1.1,259.5247537794752,2648.730124122497,217.79803421874215,1519.0698985516706,220.63937544705175,1678.8940205358267,263.3876461486957,2095.2357925674146,261.3006288794674,2675.790693698042,456.9087971529409,3619.803564055605,143.85826256187025,1899.764081711948,222.96273072747627,2459.0996901016674,336.19855826656175,2757.751116125908,206.21672370811484,1908.000822457808,451.52617639589744,3579.9481546111633,238.1575847728853,2654.884134065724,294.6824858056161,2679.262649503237,236.37110554383702,2635.3745088691885,261.42980975835303,2907.0433886687056,295.0478292876555,2680.558708145683,322.93981458333104,2708.643069706277,308.36261684363984,2670.0669924835624,360.18771902466517,3662.261877530322,99.3722017274285,908.7521573397247,,,,,,,,,,,,
.1.1.2,42.1845679753295,378.84149228722356,36.62239470076858,207.59470573690376,41.60931854426355,248.9687258989649,52.1179968385967,339.81500390878836,42.286493321671145,383.6960476409426,84.3896287702785,587.8945408512137,25.136358422047852,289.72530392512647,36.50940578322583,343.2660998024581,56.22231917388537,414.60733819565473,35.73568574469252,295.68525641249863,83.42695524597117,578.5158359617393,45.310128257909106,388.07061365649065,48.951237504964105,385.98204296009806,37.94089865819392,376.7659391332232,42.40775478878001,409.6422482819107,48.38483622878719,382.2590723910028,53.7727305784469,385.1248862287021,50.21224895316819,380.64261289384115,106.07160514383123,817.1800345176672,12.505749590344951,109.35594483741956,,,,,,,,,,,,
.2.1.2,95.03745615057,1121.1061588087691,76.83518743227438,563.4469472767962,89.63675392070994,685.2241588968441,118.59291313603674,999.1533288377444,94.63965871156596,1133.014099877256,146.21429759218844,1363.6812481788625,60.189768915245104,887.051269253068,84.2749233656955,1000.4404521928301,130.21896661062783,1257.5829248957612,98.03541586559533,958.7713620207093,145.2571690897884,1343.2638111136855,95.85440216457847,1129.194163321145,103.6854757269348,1134.118557649631,88.30044876247398,1119.5429527253846,96.14780031369177,1279.0620243590565,103.40435723009571,1127.6292348519005,111.18162081806764,1133.0826678542544,103.1995790609996,1119.316262946374,174.31205319127332,1718.1627754835486,39.7292752119548,464.20268450325545,,,,,,,,,,,,
.3.1.2,30.411032256473604,265.29131835374807,26.50693156321549,146.06793858613736,30.270334481918827,176.1133583147911,37.86760683988033,239.58212413897368,30.479170511296353,268.81283387473167,60.74217811791621,414.32417250207993,18.12020830786808,203.0716504045432,26.321447857294608,240.2301221816265,40.65845771015593,290.77395391599435,25.455274862316518,205.9898060596405,60.05281121345586,407.2976819899424,32.515291254333114,271.75702984260295,35.35814770142765,270.5362902221975,27.317061086139887,263.82634041536284,30.54735237642447,284.47825739107213,34.8288741881423,267.5432323938813,38.49015242954295,269.3083806603136,35.850470622728764,266.21940150350844,76.45329976095637,584.9786780370956,8.615485236427702,71.03627385686525,,,,,,,,,,,,
.1.1.3,41.340449178063984,236.40577920942718,39.20222975573311,142.2225855038284,46.359182982808655,178.1082807045444,56.40678673544375,239.77738402234382,41.74291215772502,240.39231104791043,121.63016173802237,650.7302861612396,24.11460892937233,178.08792532246758,35.13141214932049,216.97440117975052,53.68610881724369,259.7646384415981,29.116709994044623,168.9759496127663,119.7012181856093,640.1984844960158,44.315892485948744,247.72640635879762,52.99293461380756,245.6178786564072,35.22924705137053,232.05973594839108,41.48036516981952,241.0163248408997,50.69442586761504,239.60100364739486,57.055533797391824,241.81858735997972,51.59483412401329,238.80621525990426,135.49680170394552,876.3793602239215,5.224005422005233,23.130146124207233,,,,,,,,,,,,
.2.1.3,66.26892126558697,409.0143702286689,61.42591350452425,236.9509467055373,73.38774971788399,307.74279158624574,90.36302931128112,421.5098456007688,66.19500602051451,415.75628349456423,160.37964285466754,863.4469659546828,39.83405267257604,317.57070514907866,56.73946861337689,370.562932164689,89.5780513269643,453.2842669155581,49.768182592184246,309.83614878657454,159.17153575282674,845.5888007553192,68.41024817027943,422.1959586611778,80.78107266688016,423.078007575238,57.714637768252686,404.5681478634712,66.47213860696661,416.9885419624028,78.09289010867191,412.20360968769967,85.39856744972242,412.4773626504458,77.45987172583533,408.4785667360092,185.635139851957,1292.9337695040615,9.467698828285485,40.74608112025888,,,,,,,,,,,,
.3.1.3,30.26462066030836,173.37989216867908,28.64355278867178,103.42339724482555,34.02599047123968,130.424576699612,41.57468134432226,176.60441502259613,30.53555379146396,176.30269188662342,87.38384252193113,465.82958214237925,17.734870899204942,131.54190263661422,25.790505534422607,159.0499527720591,39.455357658284065,192.08245491273632,21.516538090726126,125.38138433998395,85.99735832376949,457.7553308453255,32.31223701737847,181.3479888628352,38.67904303155579,180.06740103224533,25.82516492209527,170.300789878237,30.367067910629977,176.79776799069612,36.82773904125969,175.36533573731208,40.94348742728286,176.5247250803254,37.0082510790634,174.35539710475533,97.87221803487525,637.4902085386791,3.818748911392764,16.912698517564923,,,,,,,,,,,,
