compact_object_type,formation_channel,study_key,label,first_author,year,month,ads_url,arxiv_url,code,plotting_style,rate_Gpc3yr,rate_type,submodel,submodel string,notes,submodel change 1,submodel change 2,sfrd-1,sfrd-2,sfrd-3,sfrd-4,sigma_kick,sigma_stripped_SN,alpha_CE,beta_MT,gamma_AM,CE_pessimistic,CE_prescription,lambda_CE,RMP,PISN_prescription,MT_stability,Eddington_limited,f_WR,stellar_tracks,binding_energy
BH-BH,isolated-binary-evolution,OShaughnessy_2010_StarTrack,O'Shaughnessy et al. (2010),"{O'Shaughnessy}, R.",2010,6,https://ui.adsabs.harvard.edu/abs/2010ApJ...716..615O/abstract,https://arxiv.org/abs/0908.3635,StarTrack,range,2,lower,,,lower,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,OShaughnessy_2010_StarTrack,O'Shaughnessy et al. (2010),"{O'Shaughnessy}, R.",2010,6,https://ui.adsabs.harvard.edu/abs/2010ApJ...716..615O/abstract,https://arxiv.org/abs/0908.3635,StarTrack,range,4,,rate in abstract,rate in abstract,rate in abstract,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,OShaughnessy_2010_StarTrack,O'Shaughnessy et al. (2010),"{O'Shaughnessy}, R.",2010,6,https://ui.adsabs.harvard.edu/abs/2010ApJ...716..615O/abstract,https://arxiv.org/abs/0908.3635,StarTrack,range,40,upper,,,upper,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Mennekens_2014_Brusselscode,Mennekens and Vanbeveren (2014),"{{Mennekens}, N. and {Vanbeveren}, D.},",2014,4,https://ui.adsabs.harvard.edu/abs/2014A%26A...564A.134M/abstract,https://arxiv.org/abs/1307.0959,Brussels code,range_with_upper_limit,1138.41,,16,16,16,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Mennekens_2014_Brusselscode,Mennekens and Vanbeveren (2014),"{{Mennekens}, N. and {Vanbeveren}, D.},",2014,4,https://ui.adsabs.harvard.edu/abs/2014A%26A...564A.134M/abstract,https://arxiv.org/abs/1307.0959,Brussels code,range_with_upper_limit,182.52,,12,12,12,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Mennekens_2014_Brusselscode,Mennekens and Vanbeveren (2014),"{{Mennekens}, N. and {Vanbeveren}, D.},",2014,4,https://ui.adsabs.harvard.edu/abs/2014A%26A...564A.134M/abstract,https://arxiv.org/abs/1307.0959,Brussels code,range_with_upper_limit,135.72,,17,17,17,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Mennekens_2014_Brusselscode,Mennekens and Vanbeveren (2014),"{{Mennekens}, N. and {Vanbeveren}, D.},",2014,4,https://ui.adsabs.harvard.edu/abs/2014A%26A...564A.134M/abstract,https://arxiv.org/abs/1307.0959,Brussels code,range_with_upper_limit,96.291,,18,18,18,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Mennekens_2014_Brusselscode,Mennekens and Vanbeveren (2014),"{{Mennekens}, N. and {Vanbeveren}, D.},",2014,4,https://ui.adsabs.harvard.edu/abs/2014A%26A...564A.134M/abstract,https://arxiv.org/abs/1307.0959,Brussels code,range_with_upper_limit,161.46,,,,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Mennekens_2014_Brusselscode,Mennekens and Vanbeveren (2014),"{{Mennekens}, N. and {Vanbeveren}, D.},",2014,4,https://ui.adsabs.harvard.edu/abs/2014A%26A...564A.134M/abstract,https://arxiv.org/abs/1307.0959,Brussels code,range_with_upper_limit,896.22,,,,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,deMink_2015_StarTrack,de Mink and Belczynski (2015),"{de Mink}, S.~E",2015,11,https://ui.adsabs.harvard.edu/abs/2015ApJ...814...58D/abstract,https://arxiv.org/pdf/1506.03573.pdf,StarTrack,range,540.2,,,,,,,,,,,,,,,,,,,,,,,,,
