study_key,label,code,from_submodel,to_submodel,parameter_family,parameter,travel_label,from_value,to_value,from_rate_Gpc3yr,to_rate_Gpc3yr,DCO_type,study_color_code,compact_object_type
Sgalletta_2025_SEVN,Sgalletta et al. (2025),SEVN,Sgalletta_alpha_0_5,Sgalletta_alpha_1,common envelope efficiency (alpha_CE),alpha_CE,$\alpha_{\rm CE} \uparrow$,0.5,1,255.6,296.4,,1,BH-BH
Sgalletta_2025_SEVN,Sgalletta et al. (2025),SEVN,Sgalletta_alpha_1,Sgalletta_alpha_3,common envelope efficiency (alpha_CE),alpha_CE,$\alpha_{\rm CE} \uparrow$,1,3,296.4,203.3,,1,BH-BH
Sgalletta_2025_SEVN,Sgalletta et al. (2025),SEVN,Sgalletta_alpha_3,Sgalletta_alpha_5,common envelope efficiency (alpha_CE),alpha_CE,$\alpha_{\rm CE} \uparrow$,3,5,203.3,144,,1,BH-BH
Olejak_2021_Startrack,Olejak et al. (2021),StarTrack,M380.B,M480.B,mass transfer stability,CE_criterion,revised CE,standard RLOF,Pavlovskii+2017,61.7,88.4,,3,BH-BH
Olejak_2021_Startrack,Olejak et al. (2021),StarTrack,M480.B,M481.B,mass transfer stability,MT_timescale_switch,MT switch on,no switch,switch added,88.4,17.9,,3,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),StarTrack,1,2,remnant mass prescription,fmix,$f_{\rm mix} \uparrow$,0.5,1,50,43,,4,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),StarTrack,2,3,remnant mass prescription,fmix,$f_{\rm mix} \uparrow$,1,4,43,46,,4,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),StarTrack,4,5,remnant mass prescription,fmix,$f_{\rm mix} \uparrow$,0.5,1,61,52,,4,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),StarTrack,5,6,remnant mass prescription,fmix,$f_{\rm mix} \uparrow$,1,4,52,58,,4,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),StarTrack,7,8,remnant mass prescription,fmix,$f_{\rm mix} \uparrow$,0.5,1,68,75,,4,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),StarTrack,8,9,remnant mass prescription,fmix,$f_{\rm mix} \uparrow$,1,4,75,87,,4,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),StarTrack,10,11,remnant mass prescription,fmix,$f_{\rm mix} \uparrow$,0.5,1,80,86,,4,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),StarTrack,11,12,remnant mass prescription,fmix,$f_{\rm mix} \uparrow$,1,4,86,102,,4,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),StarTrack,1,4,remnant mass prescription,PISN_mass_threshold,stronger PISN,90 $M_\odot$,45 $M_\odot$,50,61,,4,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),StarTrack,2,5,remnant mass prescription,PISN_mass_threshold,stronger PISN,90 $M_\odot$,45 $M_\odot$,43,52,,4,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),StarTrack,3,6,remnant mass prescription,PISN_mass_threshold,stronger PISN,90 $M_\odot$,45 $M_\odot$,46,58,,4,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),StarTrack,7,10,remnant mass prescription,PISN_mass_threshold,stronger PISN,90 $M_\odot$,45 $M_\odot$,68,80,,4,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),StarTrack,8,11,remnant mass prescription,PISN_mass_threshold,stronger PISN,90 $M_\odot$,45 $M_\odot$,75,86,,4,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),StarTrack,9,12,remnant mass prescription,PISN_mass_threshold,stronger PISN,90 $M_\odot$,45 $M_\odot$,87,102,,4,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),StarTrack,1,7,mass transfer stability,CE_criterion,revised CE,standard,Pavlovskii+2017,50,68,,4,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),StarTrack,2,8,mass transfer stability,CE_criterion,revised CE,standard,Pavlovskii+2017,43,75,,4,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),StarTrack,3,9,mass transfer stability,CE_criterion,revised CE,standard,Pavlovskii+2017,46,87,,4,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),StarTrack,4,10,mass transfer stability,CE_criterion,revised CE,standard,Pavlovskii+2017,61,80,,4,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),StarTrack,5,11,mass transfer stability,CE_criterion,revised CE,standard,Pavlovskii+2017,52,86,,4,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),StarTrack,6,12,mass transfer stability,CE_criterion,revised CE,standard,Pavlovskii+2017,58,102,,4,BH-BH
Neijssel_2019_COMPAS,Neijssel et al. (2019),COMPAS,Neijssel_pess_fiducial,Neijssel_opt_preferred,CE optimistic/pessimistic,CE_pessimistic,optimistic CE,pessimistic,optimistic,49,190.85,,7,NS-BH
Neijssel_2019_COMPAS,Neijssel et al. (2019),COMPAS,Neijssel_pess_Madau_Ma_Panter,Neijssel_opt_Madau_Ma_Panter,CE optimistic/pessimistic,CE_pessimistic,optimistic CE,pessimistic,optimistic,63.07,291.23,,7,NS-BH
