compact_object_type,formation_channel,study_key,label,first_author,year,month,ads_url,arxiv_url,code,plotting_style,rate_Gpc3yr,rate_type,submodel,notes
BH-BH,nuclear-clusters,Miller_2009,Miller and Lauburg (2009),Miller,2009,,https://ui.adsabs.harvard.edu/abs/2009ApJ...692..917M/abstract,https://arxiv.org/abs/0804.2783,,range,1.0,,,
BH-BH,nuclear-clusters,Miller_2009,Miller and Lauburg (2009),Miller,2009,,https://ui.adsabs.harvard.edu/abs/2009ApJ...692..917M/abstract,https://arxiv.org/abs/0804.2783,,range,10.0,,,
BH-BH,nuclear-clusters,Antonini_2012,Antonini and Perets (2012),"{Antonini}, Fabio",2012,9,https://ui.adsabs.harvard.edu/abs/2012ApJ...757...27A/abstract,https://arxiv.org/abs/1203.2938,,range,0.001989,,,
BH-BH,nuclear-clusters,Antonini_2012,Antonini and Perets (2012),"{Antonini}, Fabio",2012,9,https://ui.adsabs.harvard.edu/abs/2012ApJ...757...27A/abstract,https://arxiv.org/abs/1203.2938,,range,0.04212,,,
BH-BH,nuclear-clusters,Antonini_2012,Antonini and Perets (2012),"{Antonini}, Fabio",2012,9,https://ui.adsabs.harvard.edu/abs/2012ApJ...757...27A/abstract,https://arxiv.org/abs/1203.2938,,range,0.5616,,,
BH-BH,nuclear-clusters,Antonini_2016,Antonini and Rasio (2016),"{Antonini}, Fabio",2016,11,https://ui.adsabs.harvard.edu/abs/2016ApJ...831..187A/abstract,https://arxiv.org/abs/1606.04889,,single_value,1.5,single,,
BH-BH,nuclear-clusters,Bartos_2017,Bartos et al. (2017),Bartos et al. (2017),2017,,https://ui.adsabs.harvard.edu/abs/2017ApJ...835..165B/abstract,https://arxiv.org/pdf/1602.03831.pdf,,range,1.2,,,
BH-BH,nuclear-clusters,Petrovich_2017_BSE,Petrovich and Antonini et al. (2017),Petrovich and Antonini et al. (2017),2017,9,https://ui.adsabs.harvard.edu/abs/2017ApJ...846..146P/abstract,"{Petrovich}, Cristobal",BSE,range,0.6,,,
BH-BH,nuclear-clusters,Petrovich_2017_BSE,Petrovich and Antonini et al. (2017),Petrovich and Antonini et al. (2017),2017,9,https://ui.adsabs.harvard.edu/abs/2017ApJ...846..146P/abstract,"{Petrovich}, Cristobal",BSE,range,1.0,,,
BH-BH,nuclear-clusters,Petrovich_2017_BSE,Petrovich and Antonini et al. (2017),Petrovich and Antonini et al. (2017),2017,9,https://ui.adsabs.harvard.edu/abs/2017ApJ...846..146P/abstract,"{Petrovich}, Cristobal",BSE,range,5.0,,,
BH-BH,nuclear-clusters,Petrovich_2017_BSE,Petrovich and Antonini et al. (2017),Petrovich and Antonini et al. (2017),2017,9,https://ui.adsabs.harvard.edu/abs/2017ApJ...846..146P/abstract,"{Petrovich}, Cristobal",BSE,range,15.0,,,
BH-BH,nuclear-clusters,Stone_2017,Stone et al. (2017),Stone et al. (2017),2017,1,https://ui.adsabs.harvard.edu/abs/2017MNRAS.464..946S/abstract,,,single_value,3.0,single,,
BH-BH,nuclear-clusters,Hamers_2018,Hamers et al. (2018),Hamers,2018,9,https://ui.adsabs.harvard.edu/abs/2018ApJ...865....2H/abstract,https://arxiv.org/abs/1805.10313,,range,0.02,,,
BH-BH,nuclear-clusters,Hamers_2018,Hamers et al. (2018),Hamers,2018,9,https://ui.adsabs.harvard.edu/abs/2018ApJ...865....2H/abstract,https://arxiv.org/abs/1805.10313,,range,0.4,,,
BH-BH,nuclear-clusters,Hamers_2018,Hamers et al. (2018),Hamers,2018,9,https://ui.adsabs.harvard.edu/abs/2018ApJ...865....2H/abstract,https://arxiv.org/abs/1805.10313,,range,0.013,,,
BH-BH,nuclear-clusters,Hamers_2018,Hamers et al. (2018),Hamers,2018,9,https://ui.adsabs.harvard.edu/abs/2018ApJ...865....2H/abstract,https://arxiv.org/abs/1805.10313,,range,0.25,,,
BH-BH,nuclear-clusters,Hoang_2018,Hoang et al. (2018),Hoang,2018,4,https://ui.adsabs.harvard.edu/abs/2018ApJ...856..140H/abstract,https://arxiv.org/pdf/1706.09896.pdf,,range,1.0,,,
BH-BH,nuclear-clusters,Hoang_2018,Hoang et al. (2018),Hoang,2018,4,https://ui.adsabs.harvard.edu/abs/2018ApJ...856..140H/abstract,https://arxiv.org/pdf/1706.09896.pdf,,range,3.0,,,
BH-BH,nuclear-clusters,Fragione_2019,Fragione et al. (2019),Fragione et al. (2019),2019,9,https://ui.adsabs.harvard.edu/abs/2019MNRAS.488...47F/abstract,https://arxiv.org/pdf/1811.10627.pdf,,range,0.17,lower,,lower
BH-BH,nuclear-clusters,Fragione_2019,Fragione et al. (2019),Fragione et al. (2019),2019,9,https://ui.adsabs.harvard.edu/abs/2019MNRAS.488...47F/abstract,https://arxiv.org/pdf/1811.10627.pdf,,range,0.52,upper,,upper
BH-BH,nuclear-clusters,Rasskazov_2019,Rasskazov and Kocsis (2019),Rasskazov and Kocsis (2019),2019,,https://ui.adsabs.harvard.edu/abs/2019ApJ...881...20R/abstract,,,range,0.002,,,
BH-BH,nuclear-clusters,Rasskazov_2019,Rasskazov and Kocsis (2019),Rasskazov and Kocsis (2019),2019,,https://ui.adsabs.harvard.edu/abs/2019ApJ...881...20R/abstract,,,range,0.04,,,
BH-BH,nuclear-clusters,Stephan_2019,Stephan et al. (2019),Stephan,2019,5,https://ui.adsabs.harvard.edu/abs/2019ApJ...878...58S/abstract,https://arxiv.org/pdf/1903.00010.pdf,,range_with_lower_limit,7.0,,,
