compact_object_type,formation_channel,study_key,label,first_author,year,month,ads_url,arxiv_url,code,plotting_style,rate_Gpc3yr,rate_type,submodel,notes,superseded
BH-BH,observations-GWs,GWTC_2021e_GWTC3,"GWTC-3, Abbott et al. (2021e): PDB (ind)",LSC,2021,11,https://ui.adsabs.harvard.edu/abs/2021arXiv211103634T/abstract,https://arxiv.org/abs/2111.03634,GWTC-3,credible_interval,16.0,lower,,lower,True
BH-BH,observations-GWs,GWTC_2021e_GWTC3,"GWTC-3, Abbott et al. (2021e): PDB (ind)",LSC,2021,11,https://ui.adsabs.harvard.edu/abs/2021arXiv211103634T/abstract,https://arxiv.org/abs/2111.03634,GWTC-3,credible_interval,22.0,central,,median,True
BH-BH,observations-GWs,GWTC_2021e_GWTC3,"GWTC-3, Abbott et al. (2021e): PDB (ind)",LSC,2021,11,https://ui.adsabs.harvard.edu/abs/2021arXiv211103634T/abstract,https://arxiv.org/abs/2111.03634,GWTC-3,credible_interval,30.0,upper,,upper,True
BH-BH,observations-GWs,GWTC_2021e_GWTC3_v2,"GWTC-3, Abbott et al. (2021e): MS",LSC,2021,11,https://ui.adsabs.harvard.edu/abs/2021arXiv211103634T/abstract,https://arxiv.org/abs/2111.03634,GWTC-3,credible_interval,24.0,lower,,lower,True
BH-BH,observations-GWs,GWTC_2021e_GWTC3_v2,"GWTC-3, Abbott et al. (2021e): MS",LSC,2021,11,https://ui.adsabs.harvard.edu/abs/2021arXiv211103634T/abstract,https://arxiv.org/abs/2111.03634,GWTC-3,credible_interval,37.0,central,,median,True
BH-BH,observations-GWs,GWTC_2021e_GWTC3_v2,"GWTC-3, Abbott et al. (2021e): MS",LSC,2021,11,https://ui.adsabs.harvard.edu/abs/2021arXiv211103634T/abstract,https://arxiv.org/abs/2111.03634,GWTC-3,credible_interval,61.0,upper,,upper,True
BH-BH,observations-GWs,GWTC_2021e_GWTC3_v3,"GWTC-3, Abbott et al. (2021e): BGP",LSC,2021,11,https://ui.adsabs.harvard.edu/abs/2021arXiv211103634T/abstract,https://arxiv.org/abs/2111.03634,GWTC-3,credible_interval,23.0,lower,,lower,True
BH-BH,observations-GWs,GWTC_2021e_GWTC3_v3,"GWTC-3, Abbott et al. (2021e): BGP",LSC,2021,11,https://ui.adsabs.harvard.edu/abs/2021arXiv211103634T/abstract,https://arxiv.org/abs/2111.03634,GWTC-3,credible_interval,33.0,central,,median,True
BH-BH,observations-GWs,GWTC_2021e_GWTC3_v3,"GWTC-3, Abbott et al. (2021e): BGP",LSC,2021,11,https://ui.adsabs.harvard.edu/abs/2021arXiv211103634T/abstract,https://arxiv.org/abs/2111.03634,GWTC-3,credible_interval,49.0,upper,,upper,True
BH-BH,observations-GWs,GWTC_2021e_GWTC3_v4,"GWTC-3, Abbott et al. (2021e): redshift dependent",LSC,2021,11,https://ui.adsabs.harvard.edu/abs/2021arXiv211103634T/abstract,https://arxiv.org/abs/2111.03634,GWTC-3,credible_interval,10.3,lower,,lower,True
BH-BH,observations-GWs,GWTC_2021e_GWTC3_v4,"GWTC-3, Abbott et al. (2021e): redshift dependent",LSC,2021,11,https://ui.adsabs.harvard.edu/abs/2021arXiv211103634T/abstract,https://arxiv.org/abs/2111.03634,GWTC-3,credible_interval,17.0,central,,median,True
BH-BH,observations-GWs,GWTC_2021e_GWTC3_v4,"GWTC-3, Abbott et al. (2021e): redshift dependent",LSC,2021,11,https://ui.adsabs.harvard.edu/abs/2021arXiv211103634T/abstract,https://arxiv.org/abs/2111.03634,GWTC-3,credible_interval,27.0,upper,,upper,True
NS-BH,observations-GWs,GWTC_2021e_GWTC3,"GWTC-3, Abbott et al. (2021e): PDB (ind)",LSC,2021,11,https://ui.adsabs.harvard.edu/abs/2021arXiv211103634T/abstract,https://arxiv.org/abs/2111.03634,GWTC-3,credible_interval,36.0,lower,,lower,True
NS-BH,observations-GWs,GWTC_2021e_GWTC3,"GWTC-3, Abbott et al. (2021e): PDB (ind)",LSC,2021,11,https://ui.adsabs.harvard.edu/abs/2021arXiv211103634T/abstract,https://arxiv.org/abs/2111.03634,GWTC-3,credible_interval,73.0,central,,median,True
NS-BH,observations-GWs,GWTC_2021e_GWTC3,"GWTC-3, Abbott et al. (2021e): PDB (ind)",LSC,2021,11,https://ui.adsabs.harvard.edu/abs/2021arXiv211103634T/abstract,https://arxiv.org/abs/2111.03634,GWTC-3,credible_interval,140.0,upper,,upper,True
NS-BH,observations-GWs,GWTC_2021e_GWTC3_v2,"GWTC-3, Abbott et al. (2021e): MS",LSC,2021,11,https://ui.adsabs.harvard.edu/abs/2021arXiv211103634T/abstract,https://arxiv.org/abs/2111.03634,GWTC-3,credible_interval,11.0,lower,,lower,True
NS-BH,observations-GWs,GWTC_2021e_GWTC3_v2,"GWTC-3, Abbott et al. (2021e): MS",LSC,2021,11,https://ui.adsabs.harvard.edu/abs/2021arXiv211103634T/abstract,https://arxiv.org/abs/2111.03634,GWTC-3,credible_interval,49.0,central,,median,True
NS-BH,observations-GWs,GWTC_2021e_GWTC3_v2,"GWTC-3, Abbott et al. (2021e): MS",LSC,2021,11,https://ui.adsabs.harvard.edu/abs/2021arXiv211103634T/abstract,https://arxiv.org/abs/2111.03634,GWTC-3,credible_interval,140.0,upper,,upper,True
NS-BH,observations-GWs,GWTC_2021e_GWTC3_v3,"GWTC-3, Abbott et al. (2021e): BGP",LSC,2021,,https://ui.adsabs.harvard.edu/abs/2021arXiv211103634T/abstract,https://arxiv.org/abs/2111.03634,GWTC-3,credible_interval,8.0,lower,,lower,True
NS-BH,observations-GWs,GWTC_2021e_GWTC3_v3,"GWTC-3, Abbott et al. (2021e): BGP",LSC,2021,,https://ui.adsabs.harvard.edu/abs/2021arXiv211103634T/abstract,https://arxiv.org/abs/2111.03634,GWTC-3,credible_interval,32.0,central,,median,True
NS-BH,observations-GWs,GWTC_2021e_GWTC3_v3,"GWTC-3, Abbott et al. (2021e): BGP",LSC,2021,,https://ui.adsabs.harvard.edu/abs/2021arXiv211103634T/abstract,https://arxiv.org/abs/2111.03634,GWTC-3,credible_interval,94.0,upper,,upper,True
NS-NS,observations-GWs,GWTC_2021e_GWTC3,"GWTC-3, Abbott et al. (2021e): PDB (ind)",LSC,2021,11,https://ui.adsabs.harvard.edu/abs/2021arXiv211103634T/abstract,https://arxiv.org/abs/2111.03634,GWTC-3,credible_interval,10.0,lower,,lower,True
NS-NS,observations-GWs,GWTC_2021e_GWTC3,"GWTC-3, Abbott et al. (2021e): PDB (ind)",LSC,2021,11,https://ui.adsabs.harvard.edu/abs/2021arXiv211103634T/abstract,https://arxiv.org/abs/2111.03634,GWTC-3,credible_interval,44.0,central,,median,True
NS-NS,observations-GWs,GWTC_2021e_GWTC3,"GWTC-3, Abbott et al. (2021e): PDB (ind)",LSC,2021,11,https://ui.adsabs.harvard.edu/abs/2021arXiv211103634T/abstract,https://arxiv.org/abs/2111.03634,GWTC-3,credible_interval,140.0,upper,,upper,True
NS-NS,observations-GWs,GWTC_2021e_GWTC3_v2,"GWTC-3, Abbott et al. (2021e): MS",LSC,2021,11,https://ui.adsabs.harvard.edu/abs/2021arXiv211103634T/abstract,https://arxiv.org/abs/2111.03634,GWTC-3,credible_interval,130.0,lower,,lower,True
NS-NS,observations-GWs,GWTC_2021e_GWTC3_v2,"GWTC-3, Abbott et al. (2021e): MS",LSC,2021,11,https://ui.adsabs.harvard.edu/abs/2021arXiv211103634T/abstract,https://arxiv.org/abs/2111.03634,GWTC-3,credible_interval,660.0,central,,median,True
NS-NS,observations-GWs,GWTC_2021e_GWTC3_v2,"GWTC-3, Abbott et al. (2021e): MS",LSC,2021,11,https://ui.adsabs.harvard.edu/abs/2021arXiv211103634T/abstract,https://arxiv.org/abs/2111.03634,GWTC-3,credible_interval,1700.0,upper,,upper,True
NS-NS,observations-GWs,GWTC_2021e_GWTC3_v3,"GWTC-3, Abbott et al. (2021e): BGP",LSC,2021,11,https://ui.adsabs.harvard.edu/abs/2021arXiv211103634T/abstract,https://arxiv.org/abs/2111.03634,GWTC-3,credible_interval,13.0,lower,,lower,True
