compact_object_type,formation_channel,study_key,label,first_author,year,month,ads_url,arxiv_url,code,plotting_style,rate_Gpc3yr,rate_type,submodel,notes
NS-BH,observations-pulsars,Pol_2021_GalacticPulsars,Pol et al. (2021),Pol et al. (2021),2021,9,https://ui.adsabs.harvard.edu/abs/2021arXiv210904512P/abstract,https://arxiv.org/abs/2109.04512,Galactic Pulsars,upper_limit,1814.366351,upper,,upper limt
NS-NS,observations-pulsars,OShaughnessy_2009_GalacticPulsars,O'Shaughnessy and Kim (2009),O'Shaughnessy and Kim (2009),2009,,http://adsabs.harvard.edu/abs/2010ApJ...715..230O,https://arxiv.org/pdf/0908.2049.pdf,Galactic Pulsars,credible_interval,147.2942732,lower,,lower
NS-NS,observations-pulsars,OShaughnessy_2009_GalacticPulsars,O'Shaughnessy and Kim (2009),O'Shaughnessy and Kim (2009),2009,,http://adsabs.harvard.edu/abs/2010ApJ...715..230O,https://arxiv.org/pdf/0908.2049.pdf,Galactic Pulsars,credible_interval,828.2965677,central,,center
NS-NS,observations-pulsars,OShaughnessy_2009_GalacticPulsars,O'Shaughnessy and Kim (2009),O'Shaughnessy and Kim (2009),2009,,http://adsabs.harvard.edu/abs/2010ApJ...715..230O,https://arxiv.org/pdf/0908.2049.pdf,Galactic Pulsars,credible_interval,2938.907125,upper,,upper
NS-NS,observations-pulsars,Kim_2015_GalacticPulsars,Kim et al. (2015),Kim et al. (2015),2015,,https://ui.adsabs.harvard.edu/abs/2015MNRAS.448..928K,https://arxiv.org/abs/1308.4676,Galactic Pulsars,credible_interval,46.8,lower,,lower
NS-NS,observations-pulsars,Kim_2015_GalacticPulsars,Kim et al. (2015),Kim et al. (2015),2015,,https://ui.adsabs.harvard.edu/abs/2015MNRAS.448..928K,https://arxiv.org/abs/1308.4676,Galactic Pulsars,credible_interval,245.7,central,,center
NS-NS,observations-pulsars,Kim_2015_GalacticPulsars,Kim et al. (2015),Kim et al. (2015),2015,,https://ui.adsabs.harvard.edu/abs/2015MNRAS.448..928K,https://arxiv.org/abs/1308.4676,Galactic Pulsars,credible_interval,713.7,upper,,upper
NS-NS,observations-pulsars,Pol_2020_GalacticPulsars,Pol et al. (2020),Pol et al. (2020),2020,2,https://ui.adsabs.harvard.edu/abs/2020RNAAS...4...22P/abstract,https://arxiv.org/abs/2002.10225,Galactic Pulsars,credible_interval,310.352139,lower,,lower
NS-NS,observations-pulsars,Pol_2020_GalacticPulsars,Pol et al. (2020),Pol et al. (2020),2020,2,https://ui.adsabs.harvard.edu/abs/2020RNAAS...4...22P/abstract,https://arxiv.org/abs/2002.10225,Galactic Pulsars,credible_interval,453.5915878,central,,central
NS-NS,observations-pulsars,Pol_2020_GalacticPulsars,Pol et al. (2020),Pol et al. (2020),2020,2,https://ui.adsabs.harvard.edu/abs/2020RNAAS...4...22P/abstract,https://arxiv.org/abs/2002.10225,Galactic Pulsars,credible_interval,740.0704854,upper,,upper
NS-NS,observations-pulsars,Grunthal_2021_GalacticPulsars,Grunthal et al. (2021),Grunthal et al. (2021),2021,7,https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.1968G/abstract,https://arxiv.org/pdf/2107.13307.pdf,Galactic Pulsars,credible_interval,269.1,,,
NS-NS,observations-pulsars,Grunthal_2021_GalacticPulsars,Grunthal et al. (2021),Grunthal et al. (2021),2021,7,https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.1968G/abstract,https://arxiv.org/pdf/2107.13307.pdf,Galactic Pulsars,credible_interval,374.4,,,
NS-NS,observations-pulsars,Grunthal_2021_GalacticPulsars,Grunthal et al. (2021),Grunthal et al. (2021),2021,7,https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.1968G/abstract,https://arxiv.org/pdf/2107.13307.pdf,Galactic Pulsars,credible_interval,596.7,,,
