compact_object_type,formation_channel,study_key,label,first_author,year,month,ads_url,arxiv_url,code,plotting_style,rate_Gpc3yr,rate_type,submodel,notes
BH-BH,population-III,Kinugawa_2014,Kinugawa et al. (2014),Kinugawa,2014,8,https://ui.adsabs.harvard.edu/abs/2014MNRAS.442.2963K/abstract,https://arxiv.org/abs/1402.6672,,range,12.0,upper,,upper limit
BH-BH,population-III,Kinugawa_2014,Kinugawa et al. (2014),Kinugawa,2014,8,https://ui.adsabs.harvard.edu/abs/2014MNRAS.442.2963K/abstract,https://arxiv.org/abs/1402.6672,,range,25.0,,,
BH-BH,population-III,Belczynski_2017_StarTrack,Belczynski et al. (2017),"Belczynski, K",2017,11,https://ui.adsabs.harvard.edu/abs/2017MNRAS.471.4702B/abstract,https://arxiv.org/abs/1612.01524,StarTrack,range,0.031,,FS1,FS1
BH-BH,population-III,Belczynski_2017_StarTrack,Belczynski et al. (2017),"Belczynski, K",2017,11,https://ui.adsabs.harvard.edu/abs/2017MNRAS.471.4702B/abstract,https://arxiv.org/abs/1612.01524,StarTrack,range,0.016,,FS2,FS2
BH-BH,population-III,Belczynski_2017_StarTrack,Belczynski et al. (2017),"Belczynski, K",2017,11,https://ui.adsabs.harvard.edu/abs/2017MNRAS.471.4702B/abstract,https://arxiv.org/abs/1612.01524,StarTrack,range,0.028,,KK1,KK1
BH-BH,population-III,Belczynski_2017_StarTrack,Belczynski et al. (2017),"Belczynski, K",2017,11,https://ui.adsabs.harvard.edu/abs/2017MNRAS.471.4702B/abstract,https://arxiv.org/abs/1612.01524,StarTrack,range,1.895,,KK2,KK2
BH-BH,population-III,Hijikawa_2021_BSE,Hijikawa et al. (2021),"Hijikawa, K",2021,4,https://ui.adsabs.harvard.edu/abs/2021arXiv210413384H/abstract,https://arxiv.org/abs/2104.13384,BSE,range,0.383,,fiducial,fiducial
BH-BH,population-III,Hijikawa_2021_BSE,Hijikawa et al. (2021),"Hijikawa, K",2021,4,https://ui.adsabs.harvard.edu/abs/2021arXiv210413384H/abstract,https://arxiv.org/abs/2104.13384,BSE,range,2.89,,alpha=2.8 (IMF),alpha=2.8 (IMF)
BH-BH,population-III,Kinugawa_2020_BSE,Kinugawa et al. (2020),Kinugawa et al. (2020),2020,11,https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.3946K/abstract,https://arxiv.org/pdf/2005.09795.pdf,BSE,range,3.34,lower,,lower
BH-BH,population-III,Kinugawa_2020_BSE,Kinugawa et al. (2020),Kinugawa et al. (2020),2020,11,https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.3946K/abstract,https://arxiv.org/pdf/2005.09795.pdf,BSE,range,21.2,upper,,upper
BH-BH,population-III,Liu_2021_GALFORM,Liu and Bromm (2021),Liu,2021,6,https://ui.adsabs.harvard.edu/abs/2021arXiv210602244L/abstract,https://arxiv.org/pdf/2106.02244.pdf,GALFORM,range,0.02,lower,,lower
BH-BH,population-III,Liu_2021_GALFORM,Liu and Bromm (2021),Liu,2021,6,https://ui.adsabs.harvard.edu/abs/2021arXiv210602244L/abstract,https://arxiv.org/pdf/2106.02244.pdf,GALFORM,range,0.6,upper,,upper
BH-BH,population-III,Tanikawa_2021_BSE,Tanikawa et al. (2021),"Tanikawa, ataru",2021,3,https://ui.adsabs.harvard.edu/abs/2021ApJ...910...30T/abstract,https://arxiv.org/abs/2008.01890,BSE,single_value,0.1,single,,
NS-BH,population-III,Belczynski_2017_StarTrack,Belczynski et al. (2017),"Belczynski, K",2017,11,https://ui.adsabs.harvard.edu/abs/2017MNRAS.471.4702B/abstract,https://arxiv.org/abs/1612.01524,StarTrack,range,0.003,,FS1,FS1
NS-BH,population-III,Belczynski_2017_StarTrack,Belczynski et al. (2017),"Belczynski, K",2017,11,https://ui.adsabs.harvard.edu/abs/2017MNRAS.471.4702B/abstract,https://arxiv.org/abs/1612.01524,StarTrack,range,0.007,,FS2,FS2
NS-BH,population-III,Belczynski_2017_StarTrack,Belczynski et al. (2017),"Belczynski, K",2017,11,https://ui.adsabs.harvard.edu/abs/2017MNRAS.471.4702B/abstract,https://arxiv.org/abs/1612.01524,StarTrack,range,0.016,,KK1,KK1
NS-BH,population-III,Belczynski_2017_StarTrack,Belczynski et al. (2017),"Belczynski, K",2017,11,https://ui.adsabs.harvard.edu/abs/2017MNRAS.471.4702B/abstract,https://arxiv.org/abs/1612.01524,StarTrack,range,0.0002,,KK2,KK2
