compact_object_type,formation_channel,study_key,label,first_author,year,month,ads_url,arxiv_url,code,plotting_style,rate_Gpc3yr,rate_type,submodel,notes
BH-BH,triples,Silsbee_2017_ReboundIAS15,Silsbee and Tremaine (2017),Silsbee-Tremaine,2017,2,https://ui.adsabs.harvard.edu/abs/2017ApJ...836...39S/abstract,https://arxiv.org/abs/1608.07642,Rebound + IAS15,range,6.1,,A,A
BH-BH,triples,Silsbee_2017_ReboundIAS15,Silsbee and Tremaine (2017),Silsbee-Tremaine,2017,2,https://ui.adsabs.harvard.edu/abs/2017ApJ...836...39S/abstract,https://arxiv.org/abs/1608.07642,Rebound + IAS15,range,1.8,,A,A
BH-BH,triples,Silsbee_2017_ReboundIAS15,Silsbee and Tremaine (2017),Silsbee-Tremaine,2017,2,https://ui.adsabs.harvard.edu/abs/2017ApJ...836...39S/abstract,https://arxiv.org/abs/1608.07642,Rebound + IAS15,range,0.56,,A,A
BH-BH,triples,Silsbee_2017_ReboundIAS15,Silsbee and Tremaine (2017),Silsbee-Tremaine,2017,2,https://ui.adsabs.harvard.edu/abs/2017ApJ...836...39S/abstract,https://arxiv.org/abs/1608.07642,Rebound + IAS15,range,0.14,,A,A
BH-BH,triples,Silsbee_2017_ReboundIAS15,Silsbee and Tremaine (2017),Silsbee-Tremaine,2017,2,https://ui.adsabs.harvard.edu/abs/2017ApJ...836...39S/abstract,https://arxiv.org/abs/1608.07642,Rebound + IAS15,range,3.9,,B,B
BH-BH,triples,Silsbee_2017_ReboundIAS15,Silsbee and Tremaine (2017),Silsbee-Tremaine,2017,2,https://ui.adsabs.harvard.edu/abs/2017ApJ...836...39S/abstract,https://arxiv.org/abs/1608.07642,Rebound + IAS15,range,6.3,,C,C
BH-BH,triples,Antonini_2017_TRES,Antonini et al. (2017),"{Antonini}, Fabio",2017,6,https://ui.adsabs.harvard.edu/abs/2017ApJ...841...77A/abstract,https://arxiv.org/abs/1703.06614,TRES,range,1.3,,,
BH-BH,triples,Antonini_2017_TRES,Antonini et al. (2017),"{Antonini}, Fabio",2017,6,https://ui.adsabs.harvard.edu/abs/2017ApJ...841...77A/abstract,https://arxiv.org/abs/1703.06614,TRES,range,1.2,,,
BH-BH,triples,Antonini_2017_TRES,Antonini et al. (2017),"{Antonini}, Fabio",2017,6,https://ui.adsabs.harvard.edu/abs/2017ApJ...841...77A/abstract,https://arxiv.org/abs/1703.06614,TRES,range,0.4,,,
BH-BH,triples,Antonini_2017_TRES,Antonini et al. (2017),"{Antonini}, Fabio",2017,6,https://ui.adsabs.harvard.edu/abs/2017ApJ...841...77A/abstract,https://arxiv.org/abs/1703.06614,TRES,range,0.5,,,
BH-BH,triples,Antonini_2017_TRES,Antonini et al. (2017),"{Antonini}, Fabio",2017,6,https://ui.adsabs.harvard.edu/abs/2017ApJ...841...77A/abstract,https://arxiv.org/abs/1703.06614,TRES,range,0.5,,,
BH-BH,triples,Antonini_2017_TRES,Antonini et al. (2017),"{Antonini}, Fabio",2017,6,https://ui.adsabs.harvard.edu/abs/2017ApJ...841...77A/abstract,https://arxiv.org/abs/1703.06614,TRES,range,0.3,,,
BH-BH,triples,Antonini_2017_TRES,Antonini et al. (2017),"{Antonini}, Fabio",2017,6,https://ui.adsabs.harvard.edu/abs/2017ApJ...841...77A/abstract,https://arxiv.org/abs/1703.06614,TRES,range,2.5,upper,,upper limit
BH-BH,triples,Rodriguez_2018,Rodriguez and Antonini (2018),"{Rodriguez}, Carl L.",2018,8,https://ui.adsabs.harvard.edu/abs/2018ApJ...863....7R/abstract,https://arxiv.org/abs/1805.08212,,range,1.8,,,
BH-BH,triples,Rodriguez_2018,Rodriguez and Antonini (2018),"{Rodriguez}, Carl L.",2018,8,https://ui.adsabs.harvard.edu/abs/2018ApJ...863....7R/abstract,https://arxiv.org/abs/1805.08212,,range,2.0,,,
BH-BH,triples,Rodriguez_2018,Rodriguez and Antonini (2018),"{Rodriguez}, Carl L.",2018,8,https://ui.adsabs.harvard.edu/abs/2018ApJ...863....7R/abstract,https://arxiv.org/abs/1805.08212,,range,2.2,,,
BH-BH,triples,Rodriguez_2018,Rodriguez and Antonini (2018),"{Rodriguez}, Carl L.",2018,8,https://ui.adsabs.harvard.edu/abs/2018ApJ...863....7R/abstract,https://arxiv.org/abs/1805.08212,,range,3.0,,,
BH-BH,triples,Rodriguez_2018,Rodriguez and Antonini (2018),"{Rodriguez}, Carl L.",2018,8,https://ui.adsabs.harvard.edu/abs/2018ApJ...863....7R/abstract,https://arxiv.org/abs/1805.08212,,range,12.0,,,
BH-BH,triples,Rodriguez_2018,Rodriguez and Antonini (2018),"{Rodriguez}, Carl L.",2018,8,https://ui.adsabs.harvard.edu/abs/2018ApJ...863....7R/abstract,https://arxiv.org/abs/1805.08212,,range,18.0,,,
BH-BH,triples,Rodriguez_2018,Rodriguez and Antonini (2018),"{Rodriguez}, Carl L.",2018,8,https://ui.adsabs.harvard.edu/abs/2018ApJ...863....7R/abstract,https://arxiv.org/abs/1805.08212,,range,18.0,,,
BH-BH,triples,Rodriguez_2018,Rodriguez and Antonini (2018),"{Rodriguez}, Carl L.",2018,8,https://ui.adsabs.harvard.edu/abs/2018ApJ...863....7R/abstract,https://arxiv.org/abs/1805.08212,,range,25.0,,,
BH-BH,triples,Martinez_2020_CMC,Martinez et al. (2020),"Martinez, M",2020,11,https://ui.adsabs.harvard.edu/abs/2020ApJ...903...67M/abstract,https://arxiv.org/abs/2009.08468,CMC,range_with_lower_limit,0.35,,,
BH-BH,triples,Martinez_2020_CMC,Martinez et al. (2020),"Martinez, M",2020,11,https://ui.adsabs.harvard.edu/abs/2020ApJ...903...67M/abstract,https://arxiv.org/abs/2009.08468,CMC,range_with_lower_limit,1.0,,"all triples ,  redshift 0","all triples ,  redshift 0"
BH-BH,triples,Trani_2021_OKINAMI,Trani et al. (2021),Trani,2021,11,https://ui.adsabs.harvard.edu/abs/2021arXiv211106388T/abstract,https://arxiv.org/abs/2111.06388,OKINAMI,range,0.2,lower,,lower
BH-BH,triples,Trani_2021_OKINAMI,Trani et al. (2021),Trani,2021,11,https://ui.adsabs.harvard.edu/abs/2021arXiv211106388T/abstract,https://arxiv.org/abs/2111.06388,OKINAMI,range,0.6,central,,median
