bps_model_index,bps_model,param1_flag,param1_value,param2_flag,param2_value,sfr_mzr_model,rate_Gpc3yr
0,default,,,,,KK04_Ma16,91.2
0,default,,,,,PP04_Ma16,261.0
0,default,,,,,M09,171.0
0,default,,,,,KK04,116.0
0,default,,,,,PP04,359.0
0,default,,,,,T04,173.0
1,alpha_lambda=1,lambda,1,,,KK04_Ma16,60.6
1,alpha_lambda=1,lambda,1,,,PP04_Ma16,186.0
1,alpha_lambda=1,lambda,1,,,M09,124.0
1,alpha_lambda=1,lambda,1,,,KK04,75.4
1,alpha_lambda=1,lambda,1,,,PP04,205.0
1,alpha_lambda=1,lambda,1,,,T04,136.0
2,alpha(0.2)lambda(1),alpha,0.2,lambda,1,KK04_Ma16,38.7
2,alpha(0.2)lambda(1),alpha,0.2,lambda,1,PP04_Ma16,90.9
2,alpha(0.2)lambda(1),alpha,0.2,lambda,1,M09,64.9
2,alpha(0.2)lambda(1),alpha,0.2,lambda,1,KK04,53.8
2,alpha(0.2)lambda(1),alpha,0.2,lambda,1,PP04,105.0
2,alpha(0.2)lambda(1),alpha,0.2,lambda,1,T04,61.9
3,alpha(5.0)lambda(1),alpha,5.0,lambda,1,KK04_Ma16,77.6
3,alpha(5.0)lambda(1),alpha,5.0,lambda,1,PP04_Ma16,244.0
3,alpha(5.0)lambda(1),alpha,5.0,lambda,1,M09,166.0
3,alpha(5.0)lambda(1),alpha,5.0,lambda,1,KK04,89.8
3,alpha(5.0)lambda(1),alpha,5.0,lambda,1,PP04,304.0
3,alpha(5.0)lambda(1),alpha,5.0,lambda,1,T04,180.0
4,qcrit(4),qcrit,4,,,KK04_Ma16,42.9
4,qcrit(4),qcrit,4,,,PP04_Ma16,127.0
4,qcrit(4),qcrit,4,,,M09,79.2
4,qcrit(4),qcrit,4,,,KK04,51.1
4,qcrit(4),qcrit,4,,,PP04,162.0
4,qcrit(4),qcrit,4,,,T04,84.5
5,vBH(3),vBH,3,,,KK04_Ma16,16.9
5,vBH(3),vBH,3,,,PP04_Ma16,46.9
5,vBH(3),vBH,3,,,M09,32.1
5,vBH(3),vBH,3,,,KK04,24.8
5,vBH(3),vBH,3,,,PP04,57.1
5,vBH(3),vBH,3,,,T04,31.3
6,MNS-BH(4),MNS-BH,4,,,KK04_Ma16,69.5
6,MNS-BH(4),MNS-BH,4,,,PP04_Ma16,219.0
6,MNS-BH(4),MNS-BH,4,,,M09,131.0
6,MNS-BH(4),MNS-BH,4,,,KK04,88.0
6,MNS-BH(4),MNS-BH,4,,,PP04,258.0
6,MNS-BH(4),MNS-BH,4,,,T04,140.0
7,alpha(0.1)lambda(0),alpha,0.1,lambda,0,KK04_Ma16,292.0
7,alpha(0.1)lambda(0),alpha,0.1,lambda,0,PP04_Ma16,625.0
7,alpha(0.1)lambda(0),alpha,0.1,lambda,0,M09,461.0
7,alpha(0.1)lambda(0),alpha,0.1,lambda,0,KK04,403.0
7,alpha(0.1)lambda(0),alpha,0.1,lambda,0,PP04,717.0
7,alpha(0.1)lambda(0),alpha,0.1,lambda,0,T04,442.0
8,alpha(0.1)lambda(1),alpha,0.1,lambda,1,KK04_Ma16,195.0
8,alpha(0.1)lambda(1),alpha,0.1,lambda,1,PP04_Ma16,437.0
8,alpha(0.1)lambda(1),alpha,0.1,lambda,1,M09,296.0
8,alpha(0.1)lambda(1),alpha,0.1,lambda,1,KK04,240.0
8,alpha(0.1)lambda(1),alpha,0.1,lambda,1,PP04,421.0
8,alpha(0.1)lambda(1),alpha,0.1,lambda,1,T04,283.0
9,alpha(0.2)lambda(0),alpha,0.2,lambda,0,KK04_Ma16,483.0
9,alpha(0.2)lambda(0),alpha,0.2,lambda,0,PP04_Ma16,872.0
9,alpha(0.2)lambda(0),alpha,0.2,lambda,0,M09,675.0
9,alpha(0.2)lambda(0),alpha,0.2,lambda,0,KK04,632.0
9,alpha(0.2)lambda(0),alpha,0.2,lambda,0,PP04,1140.0
9,alpha(0.2)lambda(0),alpha,0.2,lambda,0,T04,674.0
10,alpha(0.3)lambda(0),alpha,0.3,lambda,0,KK04_Ma16,280.0
10,alpha(0.3)lambda(0),alpha,0.3,lambda,0,PP04_Ma16,552.0
10,alpha(0.3)lambda(0),alpha,0.3,lambda,0,M09,402.0
10,alpha(0.3)lambda(0),alpha,0.3,lambda,0,KK04,349.0
10,alpha(0.3)lambda(0),alpha,0.3,lambda,0,PP04,612.0
10,alpha(0.3)lambda(0),alpha,0.3,lambda,0,T04,422.0
11,alpha(0.3)lambda(1),alpha,0.3,lambda,1,KK04_Ma16,38.4
11,alpha(0.3)lambda(1),alpha,0.3,lambda,1,PP04_Ma16,92.6
11,alpha(0.3)lambda(1),alpha,0.3,lambda,1,M09,67.7
11,alpha(0.3)lambda(1),alpha,0.3,lambda,1,KK04,48.9
11,alpha(0.3)lambda(1),alpha,0.3,lambda,1,PP04,126.0
11,alpha(0.3)lambda(1),alpha,0.3,lambda,1,T04,64.9
12,alpha(0.5)lambda(0),alpha,0.5,lambda,0,KK04_Ma16,73.3
12,alpha(0.5)lambda(0),alpha,0.5,lambda,0,PP04_Ma16,189.0
12,alpha(0.5)lambda(0),alpha,0.5,lambda,0,M09,141.0
12,alpha(0.5)lambda(0),alpha,0.5,lambda,0,KK04,104.0
12,alpha(0.5)lambda(0),alpha,0.5,lambda,0,PP04,231.0
12,alpha(0.5)lambda(0),alpha,0.5,lambda,0,T04,131.0
13,alpha(0.5)lambda(1),alpha,0.5,lambda,1,KK04_Ma16,49.2
13,alpha(0.5)lambda(1),alpha,0.5,lambda,1,PP04_Ma16,147.0
13,alpha(0.5)lambda(1),alpha,0.5,lambda,1,M09,96.7
13,alpha(0.5)lambda(1),alpha,0.5,lambda,1,KK04,71.0
13,alpha(0.5)lambda(1),alpha,0.5,lambda,1,PP04,197.0
13,alpha(0.5)lambda(1),alpha,0.5,lambda,1,T04,96.5
14,alpha(2.0)lambda(0),alpha,2.0,lambda,0,KK04_Ma16,126.0
14,alpha(2.0)lambda(0),alpha,2.0,lambda,0,PP04_Ma16,377.0
14,alpha(2.0)lambda(0),alpha,2.0,lambda,0,M09,240.0
14,alpha(2.0)lambda(0),alpha,2.0,lambda,0,KK04,157.0
14,alpha(2.0)lambda(0),alpha,2.0,lambda,0,PP04,439.0
14,alpha(2.0)lambda(0),alpha,2.0,lambda,0,T04,243.0
15,alpha(2.0)lambda(1),alpha,2.0,lambda,1,KK04_Ma16,125.0
15,alpha(2.0)lambda(1),alpha,2.0,lambda,1,PP04_Ma16,398.0
15,alpha(2.0)lambda(1),alpha,2.0,lambda,1,M09,214.0
15,alpha(2.0)lambda(1),alpha,2.0,lambda,1,KK04,151.0
15,alpha(2.0)lambda(1),alpha,2.0,lambda,1,PP04,438.0
15,alpha(2.0)lambda(1),alpha,2.0,lambda,1,T04,237.0
16,alpha(3.0)lambda(0),alpha,3.0,lambda,0,KK04_Ma16,112.0
16,alpha(3.0)lambda(0),alpha,3.0,lambda,0,PP04_Ma16,349.0
16,alpha(3.0)lambda(0),alpha,3.0,lambda,0,M09,186.0
16,alpha(3.0)lambda(0),alpha,3.0,lambda,0,KK04,132.0
16,alpha(3.0)lambda(0),alpha,3.0,lambda,0,PP04,401.0
16,alpha(3.0)lambda(0),alpha,3.0,lambda,0,T04,232.0
17,alpha(3.0)lambda(1),alpha,3.0,lambda,1,KK04_Ma16,108.0
17,alpha(3.0)lambda(1),alpha,3.0,lambda,1,PP04_Ma16,317.0
17,alpha(3.0)lambda(1),alpha,3.0,lambda,1,M09,184.0
17,alpha(3.0)lambda(1),alpha,3.0,lambda,1,KK04,129.0
17,alpha(3.0)lambda(1),alpha,3.0,lambda,1,PP04,420.0
17,alpha(3.0)lambda(1),alpha,3.0,lambda,1,T04,211.0
18,alpha(5.0)lambda(0),alpha,5.0,lambda,0,KK04_Ma16,74.7
18,alpha(5.0)lambda(0),alpha,5.0,lambda,0,PP04_Ma16,226.0
18,alpha(5.0)lambda(0),alpha,5.0,lambda,0,M09,158.0
18,alpha(5.0)lambda(0),alpha,5.0,lambda,0,KK04,95.3
18,alpha(5.0)lambda(0),alpha,5.0,lambda,0,PP04,299.0
18,alpha(5.0)lambda(0),alpha,5.0,lambda,0,T04,181.0
19,alpha(10.0)lambda(0),alpha,10.0,lambda,0,KK04_Ma16,45.8
19,alpha(10.0)lambda(0),alpha,10.0,lambda,0,PP04_Ma16,161.0
19,alpha(10.0)lambda(0),alpha,10.0,lambda,0,M09,104.0
19,alpha(10.0)lambda(0),alpha,10.0,lambda,0,KK04,55.5
19,alpha(10.0)lambda(0),alpha,10.0,lambda,0,PP04,177.0
19,alpha(10.0)lambda(0),alpha,10.0,lambda,0,T04,112.0
20,alpha(10.0)lambda(1),alpha,10.0,lambda,1,KK04_Ma16,43.2
20,alpha(10.0)lambda(1),alpha,10.0,lambda,1,PP04_Ma16,153.0
20,alpha(10.0)lambda(1),alpha,10.0,lambda,1,M09,101.0
20,alpha(10.0)lambda(1),alpha,10.0,lambda,1,KK04,57.3
20,alpha(10.0)lambda(1),alpha,10.0,lambda,1,PP04,186.0
20,alpha(10.0)lambda(1),alpha,10.0,lambda,1,T04,111.0
21,CEMerger(0),CE_Merger,0,,,KK04_Ma16,293.0
21,CEMerger(0),CE_Merger,0,,,PP04_Ma16,465.0
21,CEMerger(0),CE_Merger,0,,,M09,362.0
21,CEMerger(0),CE_Merger,0,,,KK04,342.0
21,CEMerger(0),CE_Merger,0,,,PP04,571.0
21,CEMerger(0),CE_Merger,0,,,T04,367.0
22,Eorb_i(0),Eorb_i,0,,,KK04_Ma16,109.0
22,Eorb_i(0),Eorb_i,0,,,PP04_Ma16,319.0
22,Eorb_i(0),Eorb_i,0,,,M09,192.0
22,Eorb_i(0),Eorb_i,0,,,KK04,134.0
22,Eorb_i(0),Eorb_i,0,,,PP04,457.0
22,Eorb_i(0),Eorb_i,0,,,T04,205.0
23,qcrit(0),qcrit,0,,,KK04_Ma16,83.3
23,qcrit(0),qcrit,0,,,PP04_Ma16,261.0
23,qcrit(0),qcrit,0,,,M09,170.0
23,qcrit(0),qcrit,0,,,KK04,101.0
23,qcrit(0),qcrit,0,,,PP04,310.0
23,qcrit(0),qcrit,0,,,T04,152.0
24,qcrit(1),qcrit,1,,,KK04_Ma16,79.1
24,qcrit(1),qcrit,1,,,PP04_Ma16,245.0
24,qcrit(1),qcrit,1,,,M09,153.0
24,qcrit(1),qcrit,1,,,KK04,104.0
24,qcrit(1),qcrit,1,,,PP04,326.0
24,qcrit(1),qcrit,1,,,T04,154.0
25,qcrit(3),qcrit,3,,,KK04_Ma16,104.0
25,qcrit(3),qcrit,3,,,PP04_Ma16,299.0
25,qcrit(3),qcrit,3,,,M09,197.0
25,qcrit(3),qcrit,3,,,KK04,127.0
