study_key,label,code,from_submodel,to_submodel,parameter_family,parameter,travel_label,from_value,to_value,from_rate_Gpc3yr,to_rate_Gpc3yr,study_color_code,compact_object_type
Olejak_2021_Startrack,Olejak et al. (2021),Startrack,M380.B,M480.B,mass transfer stability,CE_criterion,M380.B to M480.B,standard RLOF,revised CE,61.7,88.4,,BH-BH
Olejak_2021_Startrack,Olejak et al. (2021),Startrack,M480.B,M481.B,mass transfer stability,MT_timescale_switch,M480.B to M481.B,no switch,switch added,88.4,17.9,,BH-BH
Olejak_2021_Startrack,Olejak et al. (2021),Startrack,M380.B,M480.B,mass transfer stability,CE_criterion,M380.B to M480.B,standard RLOF,revised CE,13.1,15.6,,NS-BH
Olejak_2021_Startrack,Olejak et al. (2021),Startrack,M480.B,M481.B,mass transfer stability,MT_timescale_switch,M480.B to M481.B,no switch,switch added,15.6,4.1,,NS-BH
Olejak_2021_Startrack,Olejak et al. (2021),Startrack,M380.B,M480.B,mass transfer stability,CE_criterion,M380.B to M480.B,standard RLOF,revised CE,148.0,148.0,,NS-NS
Olejak_2021_Startrack,Olejak et al. (2021),Startrack,M480.B,M481.B,mass transfer stability,MT_timescale_switch,M480.B to M481.B,no switch,switch added,148.0,322.0,,NS-NS
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,1,2,remnant mass prescription,f_mix parameter,1 to 2,0.5,1.0,50.0,43.0,,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,2,3,remnant mass prescription,f_mix parameter,2 to 3,1.0,4.0,43.0,46.0,,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,4,5,remnant mass prescription,f_mix parameter,4 to 5,0.5,1.0,61.0,52.0,,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,5,6,remnant mass prescription,f_mix parameter,5 to 6,1.0,4.0,52.0,58.0,,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,7,8,remnant mass prescription,f_mix parameter,7 to 8,0.5,1.0,68.0,75.0,,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,8,9,remnant mass prescription,f_mix parameter,8 to 9,1.0,4.0,75.0,87.0,,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,10,11,remnant mass prescription,f_mix parameter,10 to 11,0.5,1.0,80.0,86.0,,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,11,12,remnant mass prescription,f_mix parameter,11 to 12,1.0,4.0,86.0,102.0,,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,1,4,remnant mass prescription,PSN limit mass,1 to 4,Revised,Strong,50.0,61.0,,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,2,5,remnant mass prescription,PSN limit mass,2 to 5,Revised,Strong,43.0,52.0,,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,3,6,remnant mass prescription,PSN limit mass,3 to 6,Revised,Strong,46.0,58.0,,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,7,10,remnant mass prescription,PSN limit mass,7 to 10,Revised,Strong,68.0,80.0,,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,8,11,remnant mass prescription,PSN limit mass,8 to 11,Revised,Strong,75.0,86.0,,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,9,12,remnant mass prescription,PSN limit mass,9 to 12,Revised,Strong,87.0,102.0,,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,1,7,other CE physics,CE treatment,1 to 7,Standard,Revised,50.0,68.0,,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,2,8,other CE physics,CE treatment,2 to 8,Standard,Revised,43.0,75.0,,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,3,9,other CE physics,CE treatment,3 to 9,Standard,Revised,46.0,87.0,,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,4,10,other CE physics,CE treatment,4 to 10,Standard,Revised,61.0,80.0,,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,5,11,other CE physics,CE treatment,5 to 11,Standard,Revised,52.0,86.0,,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,6,12,other CE physics,CE treatment,6 to 12,Standard,Revised,58.0,102.0,,BH-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,1,2,remnant mass prescription,f_mix parameter,1 to 2,0.5,1.0,10.0,21.0,,NS-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,2,3,remnant mass prescription,f_mix parameter,2 to 3,1.0,4.0,21.0,23.0,,NS-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,4,5,remnant mass prescription,f_mix parameter,4 to 5,0.5,1.0,11.0,26.0,,NS-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,5,6,remnant mass prescription,f_mix parameter,5 to 6,1.0,4.0,26.0,27.0,,NS-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,7,8,remnant mass prescription,f_mix parameter,7 to 8,0.5,1.0,4.0,5.0,,NS-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,8,9,remnant mass prescription,f_mix parameter,8 to 9,1.0,4.0,5.0,6.0,,NS-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,10,11,remnant mass prescription,f_mix parameter,10 to 11,0.5,1.0,5.0,6.0,,NS-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,11,12,remnant mass prescription,f_mix parameter,11 to 12,1.0,4.0,6.0,7.0,,NS-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,1,4,remnant mass prescription,PSN limit mass,1 to 4,Revised,Strong,10.0,11.0,,NS-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,2,5,remnant mass prescription,PSN limit mass,2 to 5,Revised,Strong,21.0,26.0,,NS-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,3,6,remnant mass prescription,PSN limit mass,3 to 6,Revised,Strong,23.0,27.0,,NS-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,7,10,remnant mass prescription,PSN limit mass,7 to 10,Revised,Strong,4.0,5.0,,NS-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,8,11,remnant mass prescription,PSN limit mass,8 to 11,Revised,Strong,5.0,6.0,,NS-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,9,12,remnant mass prescription,PSN limit mass,9 to 12,Revised,Strong,6.0,7.0,,NS-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,1,7,other CE physics,CE treatment,1 to 7,Standard,Revised,10.0,4.0,,NS-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,2,8,other CE physics,CE treatment,2 to 8,Standard,Revised,21.0,5.0,,NS-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,3,9,other CE physics,CE treatment,3 to 9,Standard,Revised,23.0,6.0,,NS-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,4,10,other CE physics,CE treatment,4 to 10,Standard,Revised,11.0,5.0,,NS-BH
Olejak_2022_Startrack,Olejak et al. (2022),Startrack,5,11,other CE physics,CE treatment,5 to 11,Standard,Revised,26.0,6.0,,NS-BH
