compact_object_type,formation_channel,study_key,label,first_author,year,month,ads_url,arxiv_url,code,plotting_style,rate_Gpc3yr,rate_type,submodel,notes
NS-NS,observations-sGRBs,Coward_2012,Coward et al. (2012),Coward et al. (2012),2012,,https://ui.adsabs.harvard.edu/abs/2012MNRAS.425.2668C/abstract,https://arxiv.org/pdf/1202.2179.pdf,,range,5.0,,,error
NS-NS,observations-sGRBs,Coward_2012,Coward et al. (2012),Coward et al. (2012),2012,,https://ui.adsabs.harvard.edu/abs/2012MNRAS.425.2668C/abstract,https://arxiv.org/pdf/1202.2179.pdf,,range,8.0,lower,,lower limit
NS-NS,observations-sGRBs,Coward_2012,Coward et al. (2012),Coward et al. (2012),2012,,https://ui.adsabs.harvard.edu/abs/2012MNRAS.425.2668C/abstract,https://arxiv.org/pdf/1202.2179.pdf,,range,13.0,,,error
NS-NS,observations-sGRBs,Coward_2012,Coward et al. (2012),Coward et al. (2012),2012,,https://ui.adsabs.harvard.edu/abs/2012MNRAS.425.2668C/abstract,https://arxiv.org/pdf/1202.2179.pdf,,range,630.0,,,error
NS-NS,observations-sGRBs,Coward_2012,Coward et al. (2012),Coward et al. (2012),2012,,https://ui.adsabs.harvard.edu/abs/2012MNRAS.425.2668C/abstract,https://arxiv.org/pdf/1202.2179.pdf,,range,1100.0,upper,,upper limit
NS-NS,observations-sGRBs,Coward_2012,Coward et al. (2012),Coward et al. (2012),2012,,https://ui.adsabs.harvard.edu/abs/2012MNRAS.425.2668C/abstract,https://arxiv.org/pdf/1202.2179.pdf,,range,1800.0,,,error
NS-NS,observations-sGRBs,Petrillo_2013,Petrillo et al. (2013),Petrillo et al. (2013),2013,4,https://ui.adsabs.harvard.edu/abs/2013ApJ...767..140P/abstract,https://arxiv.org/pdf/1202.0804.pdf,,range,500.0,lower,,lower
NS-NS,observations-sGRBs,Petrillo_2013,Petrillo et al. (2013),Petrillo et al. (2013),2013,4,https://ui.adsabs.harvard.edu/abs/2013ApJ...767..140P/abstract,https://arxiv.org/pdf/1202.0804.pdf,,range,1500.0,upper,,upper
NS-NS,observations-sGRBs,Fong_2015,Fong et al. (2015),Fong et al. (2015),2015,12,https://ui.adsabs.harvard.edu/abs/2015ApJ...815..102F/abstract,https://arxiv.org/pdf/1509.02922.pdf,,credible_interval,90.0,lower,,lower
NS-NS,observations-sGRBs,Fong_2015,Fong et al. (2015),Fong et al. (2015),2015,12,https://ui.adsabs.harvard.edu/abs/2015ApJ...815..102F/abstract,https://arxiv.org/pdf/1509.02922.pdf,,credible_interval,270.0,central,,center
NS-NS,observations-sGRBs,Fong_2015,Fong et al. (2015),Fong et al. (2015),2015,12,https://ui.adsabs.harvard.edu/abs/2015ApJ...815..102F/abstract,https://arxiv.org/pdf/1509.02922.pdf,,credible_interval,1850.0,upper,,upper
NS-NS,observations-sGRBs,DellaValle_2018,Della Valle et al. (2018),Della Valle et al. (2018),2018,12,https://ui.adsabs.harvard.edu/abs/2018MNRAS.481.4355D/abstract,https://arxiv.org/pdf/1809.04295.pdf,,credible_interval,71.0,lower,,lower
NS-NS,observations-sGRBs,DellaValle_2018,Della Valle et al. (2018),Della Valle et al. (2018),2018,12,https://ui.adsabs.harvard.edu/abs/2018MNRAS.481.4355D/abstract,https://arxiv.org/pdf/1809.04295.pdf,,credible_interval,352.0,central,,center
NS-NS,observations-sGRBs,DellaValle_2018,Della Valle et al. (2018),Della Valle et al. (2018),2018,12,https://ui.adsabs.harvard.edu/abs/2018MNRAS.481.4355D/abstract,https://arxiv.org/pdf/1809.04295.pdf,,credible_interval,1162.0,upper,,upper
NS-NS,observations-sGRBs,Jin_2018,Jin et al. (2018),,2018,4,https://ui.adsabs.harvard.edu/abs/2018ApJ...857..128J/abstract,https://arxiv.org/abs/1708.07008,,credible_interval,452.0,,,
NS-NS,observations-sGRBs,Jin_2018,Jin et al. (2018),,2018,4,https://ui.adsabs.harvard.edu/abs/2018ApJ...857..128J/abstract,https://arxiv.org/abs/1708.07008,,credible_interval,1109.0,,,
NS-NS,observations-sGRBs,Jin_2018,Jin et al. (2018),,2018,4,https://ui.adsabs.harvard.edu/abs/2018ApJ...857..128J/abstract,https://arxiv.org/abs/1708.07008,,credible_interval,2541.0,,,
NS-NS,observations-sGRBs,Zhang_2018,Zhang et al. (2018),"Zhang, BB",2018,1,https://ui.adsabs.harvard.edu/abs/2018NatCo...9..447Z/abstract,https://arxiv.org/abs/1710.05851,,credible_interval,30.0,lower,,lower
