panel,label,study_key,submodel,rate,is_fiducial
Angular momentum \& winds,van Son (2022) SMT only,vanSon_2022_SMT_COMPAS,vanSon_f_disk_0.75,0.1,False
Natal kicks ($\sigma_{\rm kick}$),Boesky et al. (2024),Boesky_2024_COMPAS,Boesky_sigma_750_RMP_M,0.599,False
MT stability,van Son (2022) SMT only,vanSon_2022_SMT_COMPAS,vanSon_zeta_eff_3.5,0.9,False
CE efficiency ($\alpha_{\rm CE}$),Chattaraj (2025; solar metallicity),Chattaraj_2025_POSYDON,Chattaraj25-MODEL01,1.19,False
Remnant mass prescription,Chattaraj (2025; solar metallicity),Chattaraj_2025_POSYDON,Chattaraj25-MODEL07,1.35,False
Remnant mass prescription,Chattaraj (2025; solar metallicity),Chattaraj_2025_POSYDON,Chattaraj25-MODEL03,1.75,False
Stellar evolution tracks,Romagnolo et al. (2025),Romagnolo_2025_StarTrack,R25-D-Conv_ML1.5_RMAX,3.0,False
CE criterion \& pessimistic/optimistic,Chattaraj (2025; solar metallicity),Chattaraj_2025_POSYDON,Chattaraj25-MODEL15,3.16,False
Remnant mass prescription,Chattaraj (2025; solar metallicity),Chattaraj_2025_POSYDON,Chattaraj25-MODEL05,3.43,False
Remnant mass prescription,van Son (2022) SMT only,vanSon_2022_SMT_COMPAS,vanSon_f_core_0.27,3.5,False
Remnant mass prescription,van Son (2022) SMT only,vanSon_2022_SMT_COMPAS,vanSon_fmix_0.7,4.1,False
Remnant mass prescription,van Son (2022) SMT only,vanSon_2022_SMT_COMPAS,vanSon_fmix_0.5,4.2,False
CE criterion \& pessimistic/optimistic,Chattaraj (2025; solar metallicity),Chattaraj_2025_POSYDON,Chattaraj25-MODEL21,4.29,False
MT stability,van Son (2022) SMT only,vanSon_2022_SMT_COMPAS,vanSon_zeta_eff_4.5,4.6,False
Remnant mass prescription,Rauf et al. (2024),Rauf_2024_COMPAS,Rauf24-Schneider2021,4.7,False
CE efficiency ($\alpha_{\rm CE}$),Chattaraj (2025; solar metallicity),Chattaraj_2025_POSYDON,Chattaraj25-MODEL11,5.22,False
Remnant mass prescription,van Son (2022) SMT only,vanSon_2022_SMT_COMPAS,vanSon_fmix_1,5.5,False
Remnant mass prescription,van Son (2022) SMT only,vanSon_2022_SMT_COMPAS,vanSon_fmix_1.4,6.8,False
Remnant mass prescription,van Son (2022) SMT only,vanSon_2022_SMT_COMPAS,vanSon_fmix_2,8.0,False
Remnant mass prescription,van Son (2022) SMT only,vanSon_2022_SMT_COMPAS,vanSon_fmix_2.8,9.2,False
CE efficiency ($\alpha_{\rm CE}$),Deng et al. (2024),Deng_2024_BSE,D24-MTIII-SNA-k40300-a2,9.594,False
Remnant mass prescription,van Son (2022) SMT only,vanSon_2022_SMT_COMPAS,vanSon_fmix_4,9.7,False
Remnant mass prescription,van Son (2022) SMT only,vanSon_2022_SMT_COMPAS,vanSon_f_core_0.31,10.0,False
CE efficiency ($\alpha_{\rm CE}$),Deng et al. (2024),Deng_2024_BSE,D24-MTIII-SNA-k20300-a2,10.062,False
MT efficiency ($\beta$),van Son (2022) SMT only,vanSon_2022_SMT_COMPAS,vanSon_beta_acc_0,10.1,False
CE efficiency ($\alpha_{\rm CE}$),Deng et al. (2024),Deng_2024_BSE,D24-MTIII-SNC-k40300-a2,10.881,False
CE efficiency ($\alpha_{\rm CE}$),Deng et al. (2024),Deng_2024_BSE,D24-MTIII-SND-k40-a1,10.998,False
CE efficiency ($\alpha_{\rm CE}$),Deng et al. (2024),Deng_2024_BSE,D24-MTIII-SND-k20-a1,11.232,False
CE efficiency ($\alpha_{\rm CE}$),Deng et al. (2024),Deng_2024_BSE,D24-MTIII-SNB-k40300-a2,11.466,False
CE efficiency ($\alpha_{\rm CE}$),Deng et al. (2024),Deng_2024_BSE,D24-MTIII-SNC-k20300-a2,11.934,False
Angular momentum \& winds,van Son (2022) SMT only,vanSon_2022_SMT_COMPAS,vanSon_f_disk_0.5,12.0,False
CE efficiency ($\alpha_{\rm CE}$),Deng et al. (2024),Deng_2024_BSE,D24-MTIII-SNE-k40300-a2,12.051,False
CE efficiency ($\alpha_{\rm CE}$),Deng et al. (2024),Deng_2024_BSE,D24-MTIII-SNA-k40300-a1,12.285,False
Stellar evolution tracks,Romagnolo et al. (2025),Romagnolo_2025_StarTrack,R25-C-Conv_ML1.5,12.3,False
Other,Chattaraj (2025; solar metallicity),Chattaraj_2025_POSYDON,Chattaraj25-MODEL10,12.33,False
CE efficiency ($\alpha_{\rm CE}$),Deng et al. (2024),Deng_2024_BSE,D24-MTIII-SNB-k20300-a2,12.402,False
CE efficiency ($\alpha_{\rm CE}$),Deng et al. (2024),Deng_2024_BSE,D24-MTIII-SNE-k20300-a2,12.636,False
CE efficiency ($\alpha_{\rm CE}$),Deng et al. (2024),Deng_2024_BSE,D24-MTIII-SNC-k40300-a1,13.104,False
CE efficiency ($\alpha_{\rm CE}$),Deng et al. (2024),Deng_2024_BSE,D24-MTIII-SNA-k20300-a1,13.221,False
CE efficiency ($\alpha_{\rm CE}$),Deng et al. (2024),Deng_2024_BSE,D24-MTIII-SNB-k40300-a1,13.455,False
CE efficiency ($\alpha_{\rm CE}$),Deng et al. (2024),Deng_2024_BSE,D24-MTIII-SNB-k20300-a1,14.157,False
Angular momentum \& winds,Li et al. (2025),Li_2025_MOBSE,Li25-f,14.2,False
CE efficiency ($\alpha_{\rm CE}$),Deng et al. (2024),Deng_2024_BSE,D24-MTIII-SNC-k20300-a1,14.508,False
Natal kicks ($\sigma_{\rm kick}$),Li et al. (2025),Li_2025_MOBSE,Li25-g,15.4,False
CE efficiency ($\alpha_{\rm CE}$),Deng et al. (2024),Deng_2024_BSE,D24-MTIII-SNE-k40300-a1,16.029,False
MT stability,van Son (2022) SMT only,vanSon_2022_SMT_COMPAS,vanSon_zeta_eff_5.5,16.7,False
Star formation history,Srinivasan et al. (2023),Srinivasan_2023_COSMIC,S23-M05-KK04_Ma16,16.9,False
MT efficiency ($\beta$),van Son (2022) SMT only,vanSon_2022_SMT_COMPAS,vanSon_beta_acc_0.25,17.0,False
CE efficiency ($\alpha_{\rm CE}$),Deng et al. (2024),Deng_2024_BSE,D24-MTIII-SND-k20-a0.5,17.55,False
MT stability,Olejak et al. (2021),Olejak_2021_Startrack,M481.B,17.9,False
CE efficiency ($\alpha_{\rm CE}$),Deng et al. (2024),Deng_2024_BSE,D24-MTIII-SNE-k20300-a1,17.901,False
CE efficiency ($\alpha_{\rm CE}$),Deng et al. (2024),Deng_2024_BSE,D24-MTIII-SND-k40-a0.5,18.018,False
Angular momentum \& winds,Li et al. (2025),Li_2025_MOBSE,Li25-b,18.1,False
Natal kicks ($\sigma_{\rm kick}$),Li et al. (2025),Li_2025_MOBSE,Li25-h,18.2,False
Stellar evolution tracks,Romagnolo et al. (2023),Romagnolo_2023_StarTrack,R23-D-RMAX4,18.7,False
CE efficiency ($\alpha_{\rm CE}$),Deng et al. (2024),Deng_2024_BSE,D24-MTIII-SND-k20-a2,18.72,False
CE efficiency ($\alpha_{\rm CE}$),Deng et al. (2024),Deng_2024_BSE,D24-MTIII-SND-k40-a2,18.837,False
Natal kicks ($\sigma_{\rm kick}$),Boesky et al. (2024),Boesky_2024_COMPAS,Boesky_sigma_265_RMP_M,19.019,False
MT efficiency ($\beta$),Dorozsmai \& Toonen (2022),Dorozsmai_2022_SeBa,beta 0.3 IT,19.1,False
CE efficiency ($\alpha_{\rm CE}$),Deng et al. (2024),Deng_2024_BSE,D24-MTIII-SNA-k40300-a0.5,19.188,False
Natal kicks ($\sigma_{\rm kick}$),Mapelli et al. (2017),Mapelli_2017_MOBSE,DK,20.0,False
CE efficiency ($\alpha_{\rm CE}$),Arca Sedda et al. (2026),ArcaSedda_2026_BPop,ArcaSedda26-F5-1g-IB,21.0,False
MT stability,Dorozsmai \& Toonen (2022),Dorozsmai_2022_SeBa,beta 0.7 IT,21.0,False
